,Timing,Name_TeamA,Min_TeamA,Pts_TeamA,Fg_TeamA,F2g_TeamA,F3g_TeamA,Ft_TeamA,Oreb_TeamA,Dreb_TeamA,Reb_TeamA,Ast_TeamA,Pf_TeamA,To_TeamA,Stl_TeamA,Blk_TeamA,Name_TeamB,Min_TeamB,Pts_TeamB,Fg_TeamB,F2g_TeamB,F3g_TeamB,Ft_TeamB,Oreb_TeamB,Dreb_TeamB,Reb_TeamB,Ast_TeamB,Pf_TeamB,To_TeamB,Stl_TeamB,Blk_TeamB
0,First Round,Angola,200,59,21/59,13/33,8/26,9/13,6,13,19,7,24,16,5,3,Serbia,200,105,36/55,23/35,13/20,20/25,9,32,41,32,13,16,7,1
1,First Round,Poland,200,80,27/64,19/38,8/26,18/25,16,26,42,17,14,10,3,3,Venezuela,200,69,27/70,19/39,8/31,7/11,17,22,39,15,23,12,8,1
2,First Round,Russia,200,82,26/61,15/34,11/27,19/24,9,24,33,20,24,18,12,0,Nigeria,200,77,24/56,17/35,7/21,22/27,9,27,36,13,24,21,9,3
3,First Round,Iran,200,81,30/65,20/44,10/21,11/16,15,31,46,14,23,18,5,4,Puerto Rico,200,83,30/73,23/50,7/23,16/20,12,23,35,18,18,7,10,3
4,First Round,Philippines,200,62,25/64,22/41,3/23,9/12,13,21,34,10,22,23,5,1,Italy,200,108,39/67,24/36,15/31,15/21,10,28,38,30,16,13,13,3
5,First Round,Cote d'Ivoire,200,55,18/63,11/40,7/23,12/16,19,22,41,12,20,21,4,0,China,200,70,29/55,28/45,1/10,11/19,8,25,33,16,16,11,10,2
6,First Round,Argentina,200,95,33/77,16/46,17/31,12/17,15,33,48,23,19,9,8,6,Korea,200,69,23/72,15/49,8/23,15/22,18,31,49,14,20,14,5,4
7,First Round,Spain,200,101,37/63,20/30,17/33,10/12,9,26,35,31,17,10,11,1,Tunisia,200,62,25/59,18/38,7/21,5/9,10,17,27,16,14,17,5,1
8,First Round,Canada,200,92,34/71,25/44,9/27,15/16,8,23,31,20,24,11,7,2,Australia,200,108,39/67,28/40,11/27,19/25,8,29,37,23,21,13,7,3
9,First Round,New Zealand,200,94,30/73,18/37,12/36,22/29,12,37,49,19,24,15,4,7,Brazil,200,102,31/82,17/45,14/37,26/30,15,34,49,20,24,9,9,2
10,First Round,Turkey,200,86,38/73,29/48,9/25,1/4,14,30,44,22,18,10,7,2,Japan,200,67,20/52,11/30,9/22,18/21,5,21,26,13,10,14,8,1
11,First Round,Dominican Republic,200,80,30/69,19/43,11/26,9/11,12,24,36,15,22,12,10,2,Jordan,200,76,29/59,26/44,3/15,15/21,9,26,35,12,18,16,3,2
12,First Round,Senegal,200,47,20/70,19/48,1/22,6/8,15,17,32,7,25,17,7,4,Lithuania,200,101,33/62,26/43,7/19,28/31,11,34,45,28,11,10,9,3
13,First Round,Greece,200,85,33/58,27/41,6/17,13/15,8,34,42,23,18,15,9,7,Montenegro,200,60,23/67,18/48,5/19,9/13,12,18,30,13,22,12,8,3
