Timing,Name_TeamA,FB_TeamA,PitP_TeamA,Name_TeamB,FB_TeamB,PitP_TeamB
First Round,Angola,6,26,Serbia,17,46
First Round,Poland,9,32,Venezuela,17,30
First Round,Russia,6,30,Nigeria,17,32
First Round,Iran,10,28,Puerto Rico,21,32
First Round,Philippines,12,42,Italy,16,38
First Round,Cote d'Ivoire,2,18,China,12,56
First Round,Argentina,8,28,Korea,4,18
First Round,Spain,16,34,Tunisia,1,30
First Round,Canada,14,32,Australia,9,50
First Round,New Zealand,19,36,Brazil,12,32
First Round,Turkey,15,54,Japan,11,18
First Round,Dominican Republic,5,30,Jordan,6,48
First Round,Senegal,10,30,Lithuania,14,48
First Round,Greece,13,48,Montenegro,6,28
First Round,Czech Republic,0,28,USA,15,44
First Round,France,2,26,Germany,9,28
First Round,Italy,14,38,Angola,4,42
First Round,Venezuela,6,32,Cote d'Ivoire,4,24
First Round,Nigeria,15,34,Argentina,9,32
First Round,Tunisia,14,24,Iran,4,36
First Round,Serbia,20,70,Philippines,8,38
First Round,China,2,28,Poland,5,36
First Round,Korea,7,22,Russia,19,46
First Round,Puerto Rico,9,24,Spain,10,40
First Round,Australia,10,36,Senegal,8,34
First Round,Montenegro,9,24,New Zealand,10,30
First Round,Japan,4,42,Czech Republic,16,44
First Round,Germany,0,34,Dominican Republic,3,40
First Round,Lithuania,2,52,Canada,7,28
First Round,Brazil,9,46,Greece,11,28
First Round,USA,12,20,Turkey,14,38
First Round,Jordan,6,22,France,9,32
First Round,Angola,7,36,Philippines,18,34
First Round,Cote d'Ivoire,9,32,Poland,11,36
First Round,Korea,7,18,Nigeria,12,50
First Round,Puerto Rico,18,36,Tunisia,13,34
First Round,Italy,5,14,Serbia,11,32
First Round,Venezuela,5,26,China,4,22
First Round,Russia,8,32,Argentina,12,30
First Round,Spain,13,28,Iran,11,30
First Round,Canada,11,16,Senegal,7,18
First Round,Brazil,10,42,Montenegro,2,26
First Round,Turkey,4,20,Czech Republic,14,48
First Round,Germany,14,40,Jordan,4,30
First Round,Lithuania,7,46,Australia,11,34
First Round,Greece,17,36,New Zealand,27,46
First Round,USA,25,46,Japan,11,26
First Round,Dominican Republic,4,14,France,17,46
Second Round,Poland,6,20,Russia,5,28
Classification Round 17-32,Nigeria,14,44,Cote d'Ivoire,4,20
Classification Round 17-32,Angola,10,28,Iran,6,32
Second Round,Serbia,20,44,Puerto Rico,8,16
Second Round,Argentina,12,42,Venezuela,4,30
Classification Round 17-32,China,11,46,Korea,5,22
Classification Round 17-32,Tunisia,12,40,Philippines,7,32
Second Round,Spain,16,32,Italy,8,22
Classification Round 17-32,New Zealand,14,38,Japan,7,24
Second Round,Australia,5,40,Dominican Republic,14,38
Classification Round 17-32,Canada,9,34,Jordan,0,30
Second Round,Brazil,7,28,Czech Republic,5,46
Classification Round 17-32,Turkey,20,46,Montenegro,6,26
Second Round,France,8,34,Lithuania,0,30
Classification Round 17-32,Germany,12,40,Senegal,6,32
Second Round,USA,11,26,Greece,9,24
Second Round,Venezuela,9,28,Russia,6,22
Classification Round 17-32,Cote d'Ivoire,15,32,Korea,13,34
Classification Round 17-32,Tunisia,10,34,Angola,4,38
Second Round,Puerto Rico,30,50,Italy,12,38
