PLAYER,TEAM,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,EFG%
Aaron Gordon,ORL,78,40,38,2633,222,96,265,36.2,30,93,32.3,41.9
Aaron Holiday,IND,50,31,19,646,106,44,130,33.8,18,61,29.5,40.8
Abdel Nader,OKC,61,38,23,694,10,4,13,30.8,2,5,40,38.5
Al Horford,BOS,68,41,27,1973,44,22,48,45.8,0,0,-,45.8
Al-Farouq Aminu,POR,81,52,29,2292,16,7,41,17.1,2,14,14.3,19.5
Alan Williams,BKN,5,1,4,26,0,0,0,-,0,0,-,-
Alec Burks,SAC,64,19,45,1375,104,41,153,26.8,22,74,29.7,34
Alex Abrines,OKC,31,21,10,588,22,8,16,50,6,11,54.5,68.8
Alex Caruso,LAL,25,8,17,531,49,19,49,38.8,11,20,55,50
Alex Len,ATL,77,28,49,1544,7,3,9,33.3,1,4,25,38.9
Alex Poythress,ATL,21,7,14,305,0,0,1,0,0,1,0,0
Alfonzo McKinnie,GSW,72,53,19,1003,14,7,19,36.8,0,1,0,36.8
Alize Johnson,IND,14,9,5,64,2,1,3,33.3,0,0,-,33.3
Allen Crabbe,BKN,43,19,24,1133,52,22,79,27.8,8,28,28.6,32.9
Allonzo Trier,NYK,64,13,51,1459,182,80,219,36.5,22,64,34.4,41.6
Amile Jefferson,ORL,12,9,3,68,0,0,0,-,-,-,-,-
Amir Johnson,PHI,51,32,19,529,4,2,2,100,0,0,-,100
Andre Drummond,DET,79,40,39,2647,18,8,44,18.2,2,14,14.3,20.5
Andre Iguodala,GSW,68,47,21,1578,28,12,40,30,4,13,30.8,35
Andre Ingram,LAL,4,1,3,15,0,0,1,0,0,0,-,0
Andrew Bogut,GSW,11,8,3,134,0,0,1,0,-,-,-,0
Andrew Harrison,NOP,17,6,11,186,10,4,22,18.2,2,12,16.7,22.7
Andrew Wiggins,MIN,73,31,42,2543,322,147,452,32.5,28,99,28.3,35.6
Anfernee Simons,POR,20,17,3,141,29,12,26,46.2,5,11,45.5,55.8
Angel Delgado,LAC,2,0,2,15,0,0,0,-,-,-,-,-
Ante Zizic,CLE,59,13,46,1082,2,1,8,12.5,-,-,-,12.5
Anthony Davis,NOP,56,25,31,1850,153,76,229,33.2,1,21,4.8,33.4
Anthony Tolliver,MIN,65,27,38,1079,13,5,13,38.5,3,8,37.5,50
Antonio Blakeney,CHI,57,14,43,829,147,69,202,34.2,9,27,33.3,36.4
Aron Baynes,BOS,51,32,19,821,0,0,0,-,0,0,-,-
Austin Rivers,HOU,76,45,31,2028,130,46,164,28,38,140,27.1,39.6
Avery Bradley,MEM,63,31,32,1905,219,100,234,42.7,19,56,33.9,46.8
BJ Johnson,SAC,7,2,5,49,6,3,5,60,0,0,-,60
Bam Adebayo,MIA,82,39,43,1913,36,17,35,48.6,2,4,50,51.4
Ben McLemore,SAC,19,7,12,158,20,8,18,44.4,4,8,50,55.6
Ben Simmons,PHI,79,50,29,2700,40,20,98,20.4,0,5,0,20.4
Billy Garrett,NYK,4,1,3,63,10,5,13,38.5,0,2,0,38.5
Bismack Biyombo,CHA,54,24,30,782,8,4,5,80,-,-,-,80
Blake Griffin,DET,75,39,36,2622,368,130,391,33.2,108,302,35.8,47.1
Boban Marjanovic,PHI,58,31,27,681,10,5,13,38.5,0,0,-,38.5
Bobby Portis,WAS,50,14,36,1298,49,24,66,36.4,1,3,33.3,37.1
Bogdan Bogdanovic,SAC,70,32,38,1947,273,115,321,35.8,43,141,30.5,42.5
Bojan Bogdanovic,IND,81,47,34,2573,240,105,271,38.7,30,85,35.3,44.3
Bonzie Colson,MIL,8,6,2,98,5,2,7,28.6,1,4,25,35.7
Brad Wanamaker,BOS,36,27,9,343,38,16,40,40,6,14,42.9,47.5
Bradley Beal,WAS,82,32,50,3028,581,249,615,40.5,83,241,34.4,47.2
Brandon Goodwin,DEN,16,10,6,57,0,0,8,0,0,2,0,0
Brandon Ingram,LAL,52,25,27,1760,219,108,245,44.1,3,5,60,44.7
Brandon Knight,CLE,39,17,22,737,113,46,118,39,21,59,35.6,47.9
Brandon Sampson,CHI,14,3,11,214,10,4,10,40,2,5,40,50
Brook Lopez,MIL,81,60,21,2322,117,46,113,40.7,25,58,43.1,51.8
Bruce Brown,DET,74,35,39,1449,13,6,23,26.1,1,10,10,28.3
Bruno Caboclo,MEM,34,14,20,800,17,6,20,30,5,18,27.8,42.5
Bryn Forbes,SAS,82,48,34,2293,319,136,320,42.5,47,126,37.3,49.8
Buddy Hield,SAC,82,39,43,2615,536,222,559,39.7,92,246,37.4,47.9
C.J. Williams,MIN,15,4,11,128,18,8,12,66.7,2,5,40,75
CJ McCollum,POR,70,43,27,2375,649,286,626,45.7,77,217,35.5,51.8
CJ Miles,MEM,53,33,20,857,56,24,73,32.9,8,34,23.5,38.4
Caleb Swanigan,SAC,21,10,11,178,2,1,7,14.3,0,0,-,14.3
Cameron Payne,CLE,40,7,33,712,74,31,76,40.8,12,27,44.4,48.7
Cameron Reynolds,MIN,19,6,13,259,14,6,12,50,2,3,66.7,58.3
Caris LeVert,BKN,40,19,21,1063,136,53,156,34,30,86,34.9,43.6
Carmelo Anthony,HOU,10,4,6,294,34,15,41,36.6,4,12,33.3,41.5
Cedi Osman,CLE,76,17,59,2444,201,82,232,35.3,37,100,37,43.3
Chandler Hutchison,CHI,44,10,34,895,10,5,18,27.8,0,2,0,27.8
Chandler Parsons,MEM,25,11,14,496,35,15,46,32.6,5,18,27.8,38
Channing Frye,CLE,36,7,29,341,16,6,20,30,4,9,44.4,40
Chasson Randle,WAS,49,19,30,743,63,22,56,39.3,19,39,48.7,56.3
Cheick Diallo,NOP,64,27,37,896,20,10,19,52.6,0,0,-,52.6
Chimezie Metu,SAS,29,14,15,145,2,1,9,11.1,0,0,-,11.1
Chris Boucher,TOR,28,21,7,163,3,1,3,33.3,1,3,33.3,50
Chris Chiozza,HOU,7,6,1,33,3,1,4,25,1,3,33.3,37.5
Chris Paul,HOU,58,39,19,1857,502,201,501,40.1,100,290,34.5,50.1
Christian Wood,NOP,21,13,8,250,10,5,11,45.5,0,1,0,45.5
Clint Capela,HOU,67,44,23,2249,0,0,1,0,-,-,-,0
Cody Zeller,CHA,49,22,27,1243,19,9,20,45,1,3,33.3,47.5
Collin Sexton,CLE,82,19,63,2605,495,220,566,38.9,55,147,37.4,43.7
Corey Brewer,SAC,31,13,18,492,4,2,14,14.3,0,5,0,14.3
Cory Joseph,IND,82,48,34,2063,191,93,245,38,5,31,16.1,39
Courtney Lee,DAL,34,6,28,428,45,21,49,42.9,3,8,37.5,45.9
Cristiano Felicio,CHI,60,16,44,746,2,1,3,33.3,0,1,0,33.3
D'Angelo Russell,BKN,81,42,39,2448,774,324,794,40.8,126,361,34.9,48.7
D.J. Augustin,ORL,81,42,39,2269,261,100,243,41.2,61,157,38.9,53.7
