PLAYER,TEAM,AGE,RA_FGM,RA_FGA,RA_FG%,NON-RA_FGM,NON-RA_FGA,NON-RA_FG%,MR_FGM,MR_FGA,MR_FG%,LC3_FGM,LC3_FGA,LC3_FG%,RC3_FGM,RC3_FGA,RC3_FG%,AB3_FGM,AB3_FGA,AB3_FG%
Alan Williams,BKN,26,4,5,80,3,6,50,1,1,100,0,0,0,0,0,0,0,1,0
Luc Mbah a Moute,LAC,32,4,10,40,1,1,100,1,1,100,0,0,0,0,3,0,2,3,66.7
Malcolm Miller,TOR,26,0,3,0,0,1,0,1,1,100,3,5,60,2,3,66.7,5,13,38.5
RJ Hunter,BOS,25,1,2,50,0,0,0,1,1,100,0,0,0,0,0,0,4,10,40
Kenneth Faried,HOU,29,129,198,65.2,13,35,37.1,6,7,85.7,3,6,50,0,3,0,5,15,33.3
C.J. Williams,MIN,29,6,9,66.7,1,4,25,5,6,83.3,0,1,0,0,3,0,5,12,41.7
Bruno Caboclo,MEM,23,40,69,58,5,22,22.7,3,4,75,12,33,36.4,7,21,33.3,29,75,38.7
Isaiah Thomas,DEN,30,11,20,55,5,28,17.9,6,8,75,1,2,50,0,4,0,11,37,29.7
Jakob Poeltl,SAS,23,153,221,69.2,26,58,44.8,8,11,72.7,0,0,0,0,0,0,0,0,0
Kosta Koufos,SAC,30,33,58,56.9,35,88,39.8,5,7,71.4,0,0,0,0,0,0,0,0,0
Demetrius Jackson,PHI,24,3,5,60,1,1,100,2,3,66.7,0,0,0,1,1,100,1,5,20
Isaiah Hicks,NYK,24,2,4,50,0,1,0,2,3,66.7,0,0,0,0,0,0,0,0,0
JaKarr Sampson,CHI,26,12,18,66.7,8,16,50,4,6,66.7,0,3,0,0,0,0,5,11,45.5
Brandon Knight,CLE,27,19,35,54.3,13,53,24.5,26,43,60.5,3,9,33.3,2,11,18.2,36,109,33
BJ Johnson,SAC,23,1,4,25,2,2,100,3,5,60,2,3,66.7,0,0,0,1,3,33.3
Milos Teodosic,LAC,32,3,4,75,1,4,25,3,5,60,1,2,50,1,2,50,8,22,36.4
Pat Connaughton,MIL,26,83,118,70.3,8,22,36.4,6,10,60,7,21,33.3,5,16,31.3,54,163,33.1
Steven Adams,OKC,25,366,559,65.5,100,223,44.8,15,25,60,0,0,0,0,0,0,0,0,0
Tyrone Wallace,LAC,25,44,91,48.4,34,90,37.8,10,17,58.8,2,6,33.3,1,3,33.3,1,10,10
Skal Labissiere,POR,23,13,21,61.9,3,8,37.5,4,7,57.1,0,1,0,0,0,0,6,12,50
Jared Dudley,BKN,33,34,58,58.6,4,12,33.3,10,18,55.6,3,9,33.3,11,24,45.8,39,118,33.1
Kevin Durant,GSW,30,207,284,72.9,123,250,49.2,254,461,55.1,3,13,23.1,4,18,22.2,130,357,36.4
Al Horford,BOS,33,148,206,71.8,73,143,51,93,170,54.7,4,9,44.4,2,12,16.7,67,182,36.8
T.J. McConnell,PHI,27,73,106,68.9,61,138,44.2,72,133,54.1,3,9,33.3,5,14,35.7,6,19,31.6
Jahlil Okafor,NOP,23,143,211,67.8,61,133,45.9,7,13,53.8,0,0,0,0,0,0,1,5,20
Cheick Diallo,NOP,22,102,142,71.8,35,69,50.7,30,56,53.6,0,1,0,0,1,0,1,1,100
Isaiah Canaan,MIL,28,19,43,44.2,3,10,30,8,15,53.3,5,14,35.7,6,13,46.2,23,69,33.3
Reggie Bullock,LAL,28,47,79,59.5,9,45,20,41,77,53.2,28,66,42.4,15,39,38.5,105,288,36.5
Quinn Cook,GSW,26,45,82,54.9,23,52,44.2,55,105,52.4,14,25,56,5,18,27.8,62,156,39.7
Kevon Looney,GSW,23,186,266,69.9,7,27,25.9,23,44,52.3,0,2,0,0,2,0,1,5,20
Rudy Gay,SAS,32,109,173,63,84,180,46.7,109,209,52.2,12,23,52.2,17,38,44.7,45,121,37.2
Mike Muscala,LAL,27,35,58,60.3,6,18,33.3,15,29,51.7,11,26,42.3,5,28,17.9,73,201,36.3
J.J. Barea,DAL,35,55,94,58.5,30,89,33.7,38,74,51.4,1,4,25,1,3,33.3,36,121,29.8
Jose Calderon,DET,37,7,15,46.7,2,5,40,22,43,51.2,2,4,50,1,5,20,11,47,23.4
CJ McCollum,POR,27,145,264,54.9,99,215,46,160,319,50.2,12,22,54.5,9,20,45,146,402,36.3
Alex Abrines,OKC,25,10,18,55.6,0,2,0,5,10,50,5,15,33.3,5,12,41.7,31,98,31.6
Amir Johnson,PHI,32,52,75,69.3,13,38,34.2,2,4,50,0,3,0,1,4,25,11,32,34.4
Andrew Bogut,GSW,34,13,24,54.2,4,10,40,1,2,50,0,0,0,0,0,0,0,0,0
Anfernee Simons,POR,20,9,12,75,3,10,30,6,12,50,2,5,40,0,0,0,8,24,33.3
Damian Jones,GSW,24,49,63,77.8,2,7,28.6,2,4,50,0,0,0,0,0,0,0,0,0
Danuel House Jr.,HOU,26,41,64,64.1,2,8,25,1,2,50,11,23,47.8,19,54,35.2,44,101,43.6
Davis Bertans,SAS,26,28,37,75.7,10,36,27.8,21,42,50,11,23,47.8,17,25,68,117,287,40.8
Deng Adel,CLE,22,2,6,33.3,1,3,33.3,2,4,50,1,4,25,1,2,50,4,17,23.5
Derrick Jones Jr.,MIA,22,122,192,63.5,7,35,20,3,6,50,13,37,35.1,8,22,36.4,7,29,24.1
Duncan Robinson,MIA,25,6,7,85.7,0,0,0,2,4,50,0,3,0,3,5,60,7,27,25.9
Dzanan Musa,BKN,20,4,5,80,3,5,60,1,2,50,0,1,0,0,1,0,1,8,12.5
Elfrid Payton,NOP,25,103,198,52,38,98,38.8,6,12,50,0,1,0,1,6,16.7,31,96,32.3
Henry Ellenson,NYK,22,13,25,52,4,22,18.2,5,10,50,2,6,33.3,4,10,40,11,22,50
Jared Terrell,MIN,24,2,8,25,1,4,25,5,10,50,1,1,100,0,3,0,3,13,23.1
Juancho Hernangomez,DEN,23,63,101,62.4,4,22,18.2,5,10,50,10,26,38.5,8,31,25.8,48,124,38.7
Kyle Anderson,MEM,25,93,142,65.5,31,66,47,17,34,50,5,14,35.7,3,7,42.9,1,13,7.7
Marcus Derrickson,GSW,23,2,3,66.7,0,2,0,4,8,50,1,1,100,1,4,25,8,15,53.3
Quincy Pondexter,SAS,31,17,27,63,4,9,44.4,2,4,50,2,5,40,1,4,25,3,9,33.3
Ray Spalding,PHX,22,18,30,60,6,12,50,1,2,50,0,0,0,0,1,0,0,2,0
Ron Baker,WAS,26,2,5,40,0,0,0,1,2,50,0,3,0,0,2,0,1,8,12.5
Thomas Welsh,DEN,23,1,1,100,1,1,100,2,4,50,0,0,0,0,0,0,3,7,42.9
Tyler Zeller,MEM,29,11,18,61.1,4,9,44.4,1,2,50,0,1,0,0,0,0,0,0,0
Udonis Haslem,MIA,39,5,7,71.4,1,4,25,5,10,50,0,0,0,0,2,0,0,10,0
Jordan Clarkson,CLE,27,170,270,63,102,238,42.9,113,227,49.8,23,56,41.1,11,39,28.2,110,349,31.5
Kyrie Irving,BOS,27,204,328,62.2,86,198,43.4,140,282,49.6,13,31,41.9,10,26,38.5,151,375,40.3
Serge Ibaka,TOR,29,196,266,73.7,111,222,50,108,220,49.1,4,12,33.3,2,7,28.6,43,150,28.7
Kyle O'Quinn,IND,29,26,40,65,10,18,55.6,32,66,48.5,0,1,0,0,1,0,1,10,10
Jerian Grant,ORL,26,19,28,67.9,6,26,23.1,27,56,48.2,4,12,33.3,2,3,66.7,34,95,35.8
Glenn Robinson III,DET,25,30,47,63.8,13,40,32.5,13,27,48.1,4,13,30.8,4,19,21.1,10,30,33.3
Boban Marjanovic,PHI,30,114,162,70.4,30,63,47.6,12,25,48,0,0,0,3,4,75,1,6,16.7
Frank Mason,SAC,25,31,50,62,14,30,46.7,12,25,48,0,2,0,1,4,25,13,58,22.4
JJ Redick,PHI,35,60,102,58.8,18,40,45,135,281,48,16,28,57.1,20,56,35.7,203,520,39
Kentavious Caldwell-Pope,LAL,26,98,154,63.6,17,45,37.8,59,123,48,29,65,44.6,20,54,37,102,314,32.5
Jordan McRae,WAS,28,21,31,67.7,8,18,44.4,22,46,47.8,2,7,28.6,0,0,0,8,27,29.6
Derrick White,SAS,24,101,167,60.5,59,125,47.2,52,109,47.7,1,6,16.7,8,18,44.4,39,118,33.1
Chris Paul,HOU,34,40,72,55.6,69,152,45.4,68,143,47.6,9,22,40.9,11,37,29.7,104,291,35.7
Jonas Jerebko,GSW,32,63,103,61.2,11,23,47.8,20,42,47.6,8,28,28.6,12,24,50,48,134,35.8
Wayne Selden,CHI,24,66,128,51.6,37,100,37,39,82,47.6,8,25,32,9,17,52.9,37,131,28.2
Troy Daniels,PHX,27,10,24,41.7,11,19,57.9,18,38,47.4,11,22,50,11,21,52.4,52,151,34.4
Bryn Forbes,SAS,25,54,94,57.4,47,106,44.3,84,178,47.2,17,29,58.6,11,20,55,148,361,41
Gorgui Dieng,MIN,29,74,110,67.3,22,52,42.3,75,160,46.9,9,18,50,6,19,31.6,3,16,18.8
Kemba Walker,CHA,29,259,470,55.1,85,212,40.1,127,271,46.9,4,19,21.1,12,22,54.5,243,680,35.7
Marc Gasol,TOR,34,102,161,63.4,97,239,40.6,92,196,46.9,2,4,50,0,3,0,97,267,36.3
Gary Trent Jr.,POR,20,3,6,50,1,8,12.5,7,15,46.7,2,2,100,0,2,0,3,17,17.6
Jeremy Lamb,CHA,27,151,277,54.5,94,220,42.7,71,152,46.7,18,32,56.3,10,20,50,86,277,31
Jeremy Lin,TOR,30,104,180,57.8,45,101,44.6,34,73,46.6,6,17,35.3,5,13,38.5,44,157,28
D.J. Augustin,ORL,31,123,203,60.6,31,92,33.7,33,71,46.5,20,37,54.1,9,19,47.4,102,251,40.6
Kelly Oubre Jr.,PHX,23,188,313,60.1,53,135,39.3,26,56,46.4,8,32,25,17,48,35.4,83,257,32.3
Courtney Lee,DAL,33,11,21,52.4,8,14,57.1,18,39,46.2,4,11,36.4,6,9,66.7,6,35,17.1
Damion Lee,GSW,26,9,18,50,8,15,53.3,12,26,46.2,10,14,71.4,3,11,27.3,14,43,32.6
Darren Collison,IND,31,103,178,57.9,18,53,34,109,236,46.2,15,31,48.4,20,35,57.1,43,125,34.4
Derrick Rose,MIN,30,152,244,62.3,60,152,39.5,98,212,46.2,8,19,42.1,3,5,60,42,118,35.6
Shai Gilgeous-Alexander,LAC,20,155,253,61.3,63,169,37.3,72,156,46.2,12,32,37.5,14,34,41.2,25,71,35.2
Damian Lillard,POR,28,265,481,55.1,48,125,38.4,131,284,46.1,5,14,35.7,5,18,27.8,227,608,37.3
Evan Turner,POR,30,92,149,61.7,43,116,37.1,58,126,46,2,10,20,2,8,25,7,34,20.6
Darius Miller,NOP,29,12,18,66.7,11,29,37.9,34,74,45.9,14,32,43.8,11,37,29.7,107,293,36.5
Emmanuel Mudiay,NYK,23,134,256,52.3,61,130,46.9,67,146,45.9,8,17,47.1,6,19,31.6,54,172,31.4
Kawhi Leonard,TOR,28,209,309,67.6,87,187,46.5,152,331,45.9,12,26,46.2,9,27,33.3,91,249,36.5
Monte Morris,DEN,24,92,154,59.7,99,185,53.5,63,138,45.7,15,40,37.5,14,28,50,63,156,40.4
Brook Lopez,MIL,31,108,144,75,45,97,46.4,15,33,45.5,13,26,50,18,49,36.7,156,437,35.7
George Hill,MIL,33,78,123,63.4,19,45,42.2,25,55,45.5,10,22,45.5,3,15,20,35,115,30.4
Shake Milton,PHI,22,12,20,60,3,12,25,5,11,45.5,4,9,44.4,1,6,16.7,9,29,31
Avery Bradley,MEM,28,50,107,46.7,25,66,37.9,87,192,45.3,24,64,37.5,11,28,39.3,51,148,34.5
Klay Thompson,GSW,29,151,215,70.2,60,140,42.9,203,448,45.3,27,70,38.6,34,65,52.3,180,464,38.8
Joe Harris,BKN,27,145,240,60.4,32,91,35.2,14,31,45.2,11,21,52.4,21,41,51.2,151,324,46.6
Devin Booker,PHX,22,203,324,62.7,117,225,52,131,292,44.9,6,16,37.5,5,14,35.7,123,378,32.5
LaMarcus Aldridge,SAS,33,284,411,69.1,133,294,45.2,257,572,44.9,1,2,50,0,2,0,9,38,23.7
Damyean Dotson,NYK,25,73,128,57,10,48,20.8,81,181,44.8,17,33,51.5,11,28,39.3,98,279,35.1
Langston Galloway,DET,27,34,68,50,25,63,39.7,34,76,44.7,27,74,36.5,33,76,43.4,75,230,32.6
Rodney Hood,POR,26,59,96,61.5,63,145,43.4,87,195,44.6,13,39,33.3,14,28,50,56,167,33.5
Anthony Tolliver,MIN,34,12,25,48,2,9,22.2,4,9,44.4,10,29,34.5,11,32,34.4,60,155,38.7
Christian Wood,NOP,23,40,58,69,8,24,33.3,4,9,44.4,0,1,0,1,4,25,8,21,38.1
Jaron Blossomgame,CLE,25,31,44,70.5,2,14,14.3,4,9,44.4,3,11,27.3,1,6,16.7,6,22,27.3
Jaylen Adams,ATL,23,7,17,41.2,2,10,20,4,9,44.4,0,2,0,2,12,16.7,23,59,39
Matthew Dellavedova,CLE,28,19,34,55.9,27,60,45,8,18,44.4,1,5,20,0,3,0,43,118,36.4
Thomas Bryant,WAS,21,218,273,79.9,27,60,45,31,70,44.3,1,5,20,1,6,16.7,31,88,35.2
Jonas Valanciunas,MEM,27,163,246,66.3,101,192,52.6,23,52,44.2,1,1,100,1,2,50,12,45,26.7
Mike Conley,MEM,31,137,249,55,111,248,44.8,87,197,44.2,11,25,44,14,30,46.7,130,369,35.2
Danny Green,TOR,32,50,81,61.7,19,55,34.5,26,59,44.1,32,68,47.1,61,116,52.6,105,249,42.2
Jon Leuer,DET,30,45,52,86.5,9,25,36,11,25,44,0,4,0,0,1,0,1,6,16.7
Marcus Morris,BOS,29,109,174,62.6,45,106,42.5,77,175,44,10,38,26.3,5,29,17.2,131,318,41.2
Taj Gibson,MIN,34,222,335,66.3,42,103,40.8,29,66,43.9,5,17,29.4,5,9,55.6,1,6,16.7
Nene,HOU,36,38,55,69.1,8,26,30.8,14,32,43.8,0,0,0,0,0,0,0,3,0
Pascal Siakam,TOR,25,322,456,70.6,97,227,42.7,21,48,43.8,35,80,43.8,27,69,39.1,17,63,27
Raymond Felton,OKC,35,10,18,55.6,11,24,45.8,14,32,43.8,1,5,20,3,6,50,16,49,32.7
