TEAM,RA_FGM,RA_FGA,RA_FG%,NON_RA_FGM,NON_RA_FGA,NON_RA_FG%,MID_RANGE_FGM,MID_RANGE_FGA,MID_RANGE_FG%,LC3_FGM,LC3_FGA,LC3_FG%,RC3_FGM,RC3_FGA,RC3_FG%,C3_FGM,C3_FGA,C3_FG%,AB3_FGM,AB3_FGA,AB3_FG%,season,type
Atlanta Hawks,1676,2744,61.1,421,1113,37.8,231,636,36.3,137,367,37.3,179,441,40.6,316,808,39.1,748,2203,34,2018-2019,Regular
Boston Celtics,1371,2129,64.4,465,1089,42.7,583,1378,42.3,123,294,41.8,87,308,28.2,210,602,34.9,822,2218,37.1,2018-2019,Regular
Brooklyn Nets,1548,2528,61.2,451,1200,37.6,261,672,38.8,109,283,38.5,109,304,35.9,218,587,37.1,822,2357,34.9,2018-2019,Regular
Charlotte Hornets,1440,2424,59.4,478,1169,40.9,402,989,40.6,114,311,36.7,118,260,45.4,232,571,40.6,743,2172,34.2,2018-2019,Regular
Chicago Bulls,1503,2503,60,579,1394,41.5,441,1190,37.1,111,285,38.9,84,201,41.8,195,486,40.1,548,1618,33.9,2018-2019,Regular
Cleveland Cavaliers,1322,2214,59.7,502,1303,38.5,519,1281,40.5,118,296,39.9,73,228,32,191,524,36.5,655,1851,35.4,2018-2019,Regular
Dallas Mavericks,1405,2163,65,421,1078,39.1,334,882,37.9,116,294,39.5,119,317,37.5,235,611,38.5,786,2362,33.3,2018-2019,Regular
Denver Nuggets,1504,2377,63.3,634,1463,43.3,404,983,41.1,111,288,38.5,95,231,41.1,206,519,39.7,690,2025,34.1,2018-2019,Regular
Detroit Pistons,1387,2284,60.7,451,1219,37,355,883,40.2,157,410,38.3,132,349,37.8,289,759,38.1,703,2064,34.1,2018-2019,Regular
Golden State Warriors,1381,2038,67.8,392,896,43.8,752,1604,46.9,135,314,43,113,269,42,248,583,42.5,837,2221,37.7,2018-2019,Regular
Houston Rockets,1381,2166,63.8,345,885,39,171,396,43.2,142,384,37,203,551,36.8,345,935,36.9,975,2773,35.2,2018-2019,Regular
Indiana Pacers,1552,2489,62.4,451,1058,42.6,609,1510,40.3,124,286,43.4,92,218,42.2,216,504,42.9,561,1564,35.9,2018-2019,Regular
LA Clippers,1543,2548,60.6,558,1363,40.9,464,1156,40.1,107,269,39.8,86,199,43.2,193,468,41.2,626,1627,38.5,2018-2019,Regular
Los Angeles Lakers,1899,2938,64.6,382,1035,36.9,363,914,39.7,97,285,34,100,281,35.6,197,566,34.8,650,1961,33.1,2018-2019,Regular
Memphis Grizzlies,1340,2166,61.9,560,1369,40.9,403,1021,39.5,111,298,37.2,96,278,34.5,207,576,35.9,603,1778,33.9,2018-2019,Regular
