TEAM,GP,W,L,MIN,%FGA_2PT,%FGA_3PT,%PTS_2PT,%PTS_2PT_MR,%PTS_3PT,%PTS_FBPS,%PTS_FT,%PTS_OFFTO,%PTS_PITP,2FGM_%AST,2FGM_%UAST,3FGM_%AST,3FGM_%UAST,FGM_%AST,FGM_%UAST,season,type
San Antonio Spurs,40,24,16,4,72,28,52.2,17.8,25.1,8.1,22.7,9.4,34.5,38,62,84.4,15.6,49.2,50.8,2018-2019,clutch
Toronto Raptors,37,22,15,4.7,61.2,38.8,49.4,17,28.5,9.3,22.1,18.3,32.4,37.5,62.5,83.8,16.2,50.4,49.6,2018-2019,clutch
Indiana Pacers,41,23,18,2.9,66,34,51,15.9,29,6.9,20,12.4,35.2,47.3,52.7,67.9,32.1,52.9,47.1,2018-2019,clutch
Phoenix Suns,33,12,21,4.5,66,34,55.6,12.3,23.7,9.4,20.8,12,43.3,43.2,56.8,74.1,25.9,50,50,2018-2019,clutch
Charlotte Hornets,39,18,21,4.1,52.9,47.1,41,12,34.4,4.9,24.6,10.9,29,41.3,58.7,61.9,38.1,48.7,51.3,2018-2019,clutch
Minnesota Timberwolves,45,19,26,3.8,63.1,36.9,54.1,11.6,23.5,7,22.4,12.8,42.4,41.9,58.1,81.5,18.5,50.8,49.2,2018-2019,clutch
Boston Celtics,42,23,19,3.5,61.5,38.5,46.4,11.5,28.4,8,25.2,13.2,34.9,39.8,60.2,73.7,26.3,49.6,50.4,2018-2019,clutch
Golden State Warriors,35,20,15,3.9,57.3,42.7,37.8,11.1,37.2,7.7,25.1,14.9,26.6,49.2,50.8,62.5,37.5,54.5,45.5,2018-2019,clutch
Memphis Grizzlies,47,19,28,4.1,61.9,38.1,45.6,10.5,28.6,4.3,25.8,15.8,35.1,37.4,62.6,76.3,23.7,48.8,51.2,2018-2019,clutch
Cleveland Cavaliers,33,13,20,3,63.8,36.2,48.3,10.4,32.7,10,19,13.3,37.9,27.5,72.5,60.9,39.1,37.8,62.2,2018-2019,clutch
Orlando Magic,47,22,25,3.5,62.5,37.5,53.2,10.4,23.4,5.2,23.4,11.8,42.8,51.1,48.9,88.9,11.1,59.7,40.3,2018-2019,clutch
Miami Heat,45,21,24,3.5,59.9,40.1,53.9,9.4,22.6,9.4,23.5,15,44.5,50,50,79.2,20.8,56.4,43.6,2018-2019,clutch
Portland Trail Blazers,42,25,17,3.3,64.4,35.6,47.5,9.3,26.2,6,26.2,9.3,38.3,36.8,63.2,81.3,18.8,48.7,51.3,2018-2019,clutch
Philadelphia 76ers,45,30,15,3.7,59.6,40.4,40,9.2,27.5,5.1,32.5,8.7,30.8,43.4,56.6,86.8,13.2,57,43,2018-2019,clutch
New York Knicks,34,11,23,3.8,61.3,38.7,42,9.1,26.2,9.4,31.8,12.6,32.9,40,60,76,24,50.6,49.4,2018-2019,clutch
LA Clippers,43,27,16,3.6,65.1,34.9,43.4,8.6,25.8,7.3,30.8,16.4,34.8,34.9,65.1,88.2,11.8,50,50,2018-2019,clutch
