TEAM,GP,W,L,WIN%,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,+/-,season,type,situation
Denver Nuggets,46,31,15,0.674,3.3,7.8,2.7,5.8,45.4,0.6,1.8,33.3,1.8,2.5,73.3,1,2.2,3.2,1.6,1.1,0.4,0.3,0.3,1.6,2,1.2,2018-19,regular,clutch
Philadelphia 76ers,45,30,15,0.667,3.7,9.2,2.7,6,44.8,0.8,2.4,34.9,3,4,75,0.9,2.7,3.6,1.5,1.2,0.5,0.5,0.3,1.9,2.6,1,2018-19,regular,clutch
LA Clippers,43,27,16,0.628,3.6,9.2,2.8,5.8,48.2,0.8,2,39.1,2.8,3.4,83,0.6,2.6,3.2,1.4,1,0.5,0.4,0.4,1.6,2.4,1.5,2018-19,regular,clutch
Milwaukee Bucks,36,22,14,0.611,3.8,9.5,3.3,6.9,46.8,0.9,2.7,35.1,2,2.9,69.5,1,2.6,3.6,1.8,1.2,0.7,0.5,0.4,2,2,0.4,2018-19,regular,clutch
San Antonio Spurs,40,24,16,0.6,4,9.6,3.3,7,47.3,0.8,2,41,2.2,2.6,84.5,0.6,2.7,3.3,1.6,0.8,0.5,0.4,0.5,1.6,1.9,0.8,2018-19,regular,clutch
Portland Trail Blazers,42,25,17,0.595,3.3,8.7,2.8,6.6,42.8,0.8,2.4,32.3,2.3,3,77.4,1.1,2.5,3.6,1.4,0.7,0.4,0.4,0.4,2.1,2.1,0.8,2018-19,regular,clutch
Toronto Raptors,37,22,15,0.595,4.7,10.5,3.6,8.4,43,1,3.2,30.8,2.3,2.8,82.7,1.2,2.8,4,1.8,1,0.6,0.6,0.4,2.7,2.4,1.1,2018-19,regular,clutch
Houston Rockets,41,24,17,0.585,3.6,8.3,2.2,5.8,38.8,0.9,3.3,27.4,2.9,3.7,80,0.9,2.2,3.1,0.9,0.8,0.4,0.5,0.3,2.1,2.4,0.2,2018-19,regular,clutch
Golden State Warriors,35,20,15,0.571,3.9,9.2,2.9,6.6,43.5,1.1,2.8,40.4,2.3,2.7,84.4,0.8,3,3.8,1.6,1,0.4,0.5,0.4,2.3,2.2,0.4,2018-19,regular,clutch
Indiana Pacers,41,23,18,0.561,2.9,7.1,2.5,5,49.5,0.7,1.7,40,1.4,1.8,80.6,0.6,2.1,2.7,1.3,0.9,0.4,0.4,0.3,1.4,1.5,0.8,2018-19,regular,clutch
Boston Celtics,42,23,19,0.548,3.5,9.5,3.1,6.2,50,0.9,2.4,37.6,2.4,2.8,87.1,0.7,2.2,2.9,1.5,0.8,0.4,0.4,0.2,1.9,2,0.7,2018-19,regular,clutch
