PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,season
Aaron Gordon,ORL,24,62,30,32,2017,894,335,767,43.7,73,237,30.8,151,224,67.4,107,368,475,228,100,51,39,125,1976,20,1,2019-20
Aaron Holiday,IND,23,66,42,24,1617,627,233,563,41.4,87,221,39.4,74,87,85.1,22,134,156,225,88,55,16,120,1276.7,3,0,2019-20
Abdel Nader,OKC,26,55,37,18,867,345,123,263,46.8,48,128,37.5,51,66,77.3,14,86,100,38,43,23,20,78,608,0,0,2019-20
Adam Mokoka,CHI,21,11,3,8,112,32,12,28,42.9,6,15,40,2,4,50,7,3,10,4,2,4,0,17,60,0,0,2019-20
Admiral Schofield,WAS,23,33,9,24,368,99,35,92,38,19,61,31.1,10,15,66.7,7,40,47,15,7,8,4,50,206.9,0,0,2019-20
Al Horford,PHI,34,67,39,28,2026,798,319,709,45,99,283,35,61,80,76.3,103,353,456,270,80,52,61,142,2009.2,6,0,2019-20
Al-Farouq Aminu,ORL,29,18,7,11,380,78,25,86,29.1,9,36,25,19,29,65.5,24,63,87,21,17,18,8,27,274.9,1,0,2019-20
Alec Burks,PHI,28,66,21,45,1754,993,321,768,41.8,116,301,38.5,235,265,88.7,48,234,282,189,91,62,17,128,1760.9,1,0,2019-20
Alen Smailagic,GSW,19,14,1,13,139,59,20,40,50,3,13,23.1,16,19,84.2,10,17,27,13,11,3,4,14,120.9,0,0,2019-20
Alex Caruso,LAL,26,64,48,16,1175,349,120,291,41.2,40,120,33.3,69,94,73.4,17,106,123,124,53,70,18,98,893.6,0,0,2019-20
Alex Len,SAC,27,55,18,37,971,438,177,319,55.5,16,59,27.1,68,105,64.8,100,221,321,50,55,23,48,127,1056.2,8,0,2019-20
Alfonzo McKinnie,CLE,27,40,11,29,593,182,73,171,42.7,14,65,21.5,22,31,71,37,76,113,14,26,23,8,72,405.6,1,0,2019-20
Alize Johnson,IND,24,17,10,7,118,34,12,29,41.4,3,8,37.5,7,10,70,16,32,48,7,7,3,2,12,110.1,1,0,2019-20
Allen Crabbe,MIN,28,37,5,32,653,172,63,177,35.6,36,119,30.3,10,14,71.4,11,66,77,33,17,15,4,47,353.9,0,0,2019-20
Allonzo Trier,NYK,24,24,2,22,291,155,51,106,48.1,19,53,35.8,34,43,79.1,6,23,29,28,22,3,4,29,230.8,0,0,2019-20
Amile Jefferson,ORL,27,18,5,13,74,15,5,14,35.7,0,0,0,5,14,35.7,10,13,23,4,3,1,3,7,57.6,0,0,2019-20
Amir Coffey,LAC,23,18,11,7,159,58,23,54,42.6,6,19,31.6,6,11,54.5,4,12,16,14,8,5,2,20,111.2,0,0,2019-20
Andre Drummond,CLE,26,57,21,36,1878,1010,418,784,53.3,5,35,14.3,169,294,57.5,250,614,864,152,203,109,93,201,2677.8,47,0,2019-20
Andre Iguodala,MIA,36,21,10,11,418,96,38,88,43.2,14,47,29.8,6,15,40,17,61,78,51,26,14,21,35,345.1,0,0,2019-20
Andre Roberson,OKC,28,7,3,4,87,20,8,29,27.6,3,14,21.4,1,2,50,7,20,27,4,2,1,3,13,68.4,0,0,2019-20
Andrew Wiggins,GSW,25,54,15,39,1859,1175,437,978,44.7,111,334,33.2,190,268,70.9,66,208,274,198,132,45,53,127,1962.8,4,1,2019-20
Anfernee Simons,POR,21,70,32,38,1449,579,214,536,39.9,75,226,33.2,76,92,82.6,25,127,152,97,61,26,10,135,953.9,1,0,2019-20
Ante Zizic,CLE,23,22,4,18,221,96,41,72,56.9,0,0,0,14,19,73.7,18,48,66,6,10,7,5,27,210.2,1,0,2019-20
