PLAYER,TEAM,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,EFG%,Season
Aaron Gordon,ORL,62,2017,184,66,198,33.3,52,160,32.5,46.5,2019-20
Aaron Holiday,IND,66,1617,173,58,137,42.3,57,135,42.2,63.1,2019-20
Abdel Nader,OKC,55,867,138,46,120,38.3,46,120,38.3,57.5,2019-20
Adam Mokoka,CHI,11,112,18,6,16,37.5,6,15,40,56.3,2019-20
Admiral Schofield,WAS,33,368,59,20,59,33.9,19,56,33.9,50,2019-20
Al Horford,PHI,67,2026,344,125,347,36,94,268,35.1,49.6,2019-20
Al-Farouq Aminu,ORL,18,380,30,11,37,29.7,8,33,24.2,40.5,2019-20
Alec Burks,PHI,66,1754,163,57,148,38.5,49,130,37.7,55.1,2019-20
Alen Smailagic,GSW,14,139,9,3,13,23.1,3,12,25,34.6,2019-20
Alex Caruso,LAL,64,1175,93,31,95,32.6,31,91,34.1,48.9,2019-20
Alex Len,SAC,55,971,56,20,70,28.6,16,57,28.1,40,2019-20
Alfonzo McKinnie,CLE,40,593,39,13,58,22.4,13,58,22.4,33.6,2019-20
Alize Johnson,IND,17,118,9,3,8,37.5,3,8,37.5,56.3,2019-20
Allen Crabbe,MIN,37,653,114,39,112,34.8,36,106,34,50.9,2019-20
Allonzo Trier,NYK,24,291,33,11,28,39.3,11,27,40.7,58.9,2019-20
Amile Jefferson,ORL,18,74,0,0,1,0,-,-,-,0,2019-20
Amir Coffey,LAC,18,159,15,5,14,35.7,5,14,35.7,53.6,2019-20
Andre Drummond,CLE,57,1878,16,6,44,13.6,4,30,13.3,18.2,2019-20
Andre Iguodala,MIA,21,418,39,13,40,32.5,13,40,32.5,48.8,2019-20
Andre Roberson,OKC,7,87,9,3,11,27.3,3,11,27.3,40.9,2019-20
Andrew Wiggins,GSW,54,1859,206,69,197,35,68,193,35.2,52.3,2019-20
Anfernee Simons,POR,70,1449,143,48,144,33.3,47,140,33.6,49.7,2019-20
Ante Zizic,CLE,22,221,8,4,6,66.7,-,-,-,66.7,2019-20
Anthony Davis,LAL,62,2131,257,95,265,35.8,67,195,34.4,48.5,2019-20
Anthony Tolliver,MEM,55,872,141,48,141,34,45,136,33.1,50,2019-20
Antonius Cleveland,DAL,11,46,0,0,3,0,0,3,0,0,2019-20
Anzejs Pasecniks,WAS,27,437,6,3,20,15,0,3,0,15,2019-20
Aron Baynes,PHX,42,934,185,64,183,35,57,163,35,50.5,2019-20
Austin Rivers,HOU,68,1594,177,59,162,36.4,59,162,36.4,54.6,2019-20
Avery Bradley,LAL,49,1186,193,69,183,37.7,55,151,36.4,52.7,2019-20
BJ Johnson,ORL,10,83,6,2,8,25,2,8,25,37.5,2019-20
Bam Adebayo,MIA,72,2417,71,35,85,41.2,1,9,11.1,41.8,2019-20
Ben McLemore,HOU,71,1619,470,157,389,40.4,156,388,40.2,60.4,2019-20
Ben Simmons,PHI,57,2017,6,2,6,33.3,2,4,50,50,2019-20
Bismack Biyombo,CHA,53,1029,10,5,16,31.3,-,-,-,31.3,2019-20
Blake Griffin,DET,18,512,27,9,38,23.7,9,38,23.7,35.5,2019-20
Boban Marjanovic,DAL,44,422,24,10,31,32.3,4,15,26.7,38.7,2019-20
Bobby Portis,NYK,66,1394,238,87,235,37,64,180,35.6,50.6,2019-20
Bogdan Bogdanovic,SAC,61,1766,377,127,311,40.8,123,302,40.7,60.6,2019-20
Bojan Bogdanovic,UTA,63,2083,401,134,316,42.4,133,312,42.6,63.4,2019-20
Bol Bol,DEN,7,87,12,4,10,40,4,8,50,60,2019-20
Brad Wanamaker,BOS,71,1369,86,29,62,46.8,28,58,48.3,69.4,2019-20
Bradley Beal,WAS,57,2053,303,104,271,38.4,95,249,38.2,55.9,2019-20
Brandon Clarke,MEM,58,1300,111,44,105,41.9,23,63,36.5,52.9,2019-20
Brandon Goodwin,ATL,34,430,38,13,58,22.4,12,57,21.1,32.8,2019-20
