PLAYER,TEAM,GP,W,L,MIN,DIST. FEET,DIST. MILES,DIST. MILES OFF,DIST. MILES DEF,AVG SPEED,AVG SPEED OFF,AVG SPEED DEF,Season
Aaron Gordon,ORL,62,30,32,2017,794854,150.5,83.4,67.2,4.2,4.65,3.76,2019-20
Aaron Holiday,IND,66,42,24,1617,637674,120.8,63.4,57.3,4.2,4.42,3.98,2019-20
Abdel Nader,OKC,55,37,18,867,354453,67.1,35,32.1,4.32,4.55,4.09,2019-20
Adam Mokoka,CHI,11,3,8,112,45912,8.7,4.5,4.2,4.24,4.44,4.06,2019-20
Admiral Schofield,WAS,33,9,24,368,143274,27.1,14.5,12.6,4.19,4.59,3.8,2019-20
Al Horford,PHI,67,39,28,2026,740032,140.2,77.2,63,3.95,4.24,3.65,2019-20
Al-Farouq Aminu,ORL,18,7,11,380,157539,29.8,16.9,13,4.39,4.87,3.93,2019-20
Alec Burks,PHI,66,21,45,1754,672987,127.5,67.6,59.9,4.12,4.35,3.89,2019-20
Alen Smailagic,GSW,14,1,13,139,57405,10.9,5.8,5.1,4.39,4.61,4.16,2019-20
Alex Caruso,LAL,64,48,16,1175,477587,90.5,47.4,43,4.29,4.55,4.03,2019-20
Alex Len,SAC,54,18,36,956,375278,71.1,38.5,32.6,4.16,4.46,3.85,2019-20
Alfonzo McKinnie,CLE,40,11,29,593,241937,45.8,24.3,21.5,4.41,4.58,4.24,2019-20
Alize Johnson,IND,17,10,7,118,46691,8.8,4.7,4.2,4.51,4.75,4.36,2019-20
Allen Crabbe,MIN,37,5,32,653,256258,48.5,25.9,22.6,4.13,4.38,3.88,2019-20
Allonzo Trier,NYK,24,2,22,291,115137,21.8,11.6,10.2,4.18,4.52,3.85,2019-20
Amile Jefferson,ORL,18,5,13,74,30799,5.8,3.3,2.5,4.45,4.86,4,2019-20
Amir Coffey,LAC,18,11,7,159,62005,11.7,6.4,5.3,4.09,4.51,3.67,2019-20
Andre Drummond,CLE,56,21,35,1844,668033,126.5,67.3,59.3,3.86,3.97,3.74,2019-20
Andre Iguodala,MIA,20,10,10,395,159312,30.2,15.7,14.5,4.21,4.46,3.97,2019-20
Andre Roberson,OKC,7,3,4,87,36468,6.9,3.4,3.5,4.4,4.32,4.47,2019-20
Andrew Wiggins,GSW,54,15,39,1859,714284,135.3,75,60.3,4.07,4.53,3.61,2019-20
Anfernee Simons,POR,70,32,38,1449,603719,114.3,62.2,52.2,4.4,4.68,4.12,2019-20
Ante Zizic,CLE,22,4,18,221,84627,16,8.2,7.8,4.04,4.23,3.86,2019-20
Anthony Davis,LAL,62,46,16,2131,746876,141.5,72.5,68.9,3.73,3.86,3.59,2019-20
Anthony Tolliver,MEM,55,24,31,872,338682,64.1,35.6,28.5,4.12,4.47,3.75,2019-20
Antonius Cleveland,DAL,11,6,5,46,17434,3.3,1.8,1.5,4.15,4.35,3.93,2019-20
Anzejs Pasecniks,WAS,27,9,18,437,178373,33.8,18.2,15.6,4.33,4.79,3.89,2019-20
Aron Baynes,PHX,41,19,22,914,338725,64.2,33.9,30.3,3.95,4.18,3.71,2019-20
Austin Rivers,HOU,68,43,25,1594,591528,112,55.6,56.4,3.94,4.03,3.85,2019-20
Avery Bradley,LAL,49,36,13,1186,485934,92,46.4,45.6,4.36,4.44,4.29,2019-20
BJ Johnson,ORL,10,5,5,83,34857,6.6,3.6,3,4.42,4.95,3.92,2019-20
Bam Adebayo,MIA,71,44,27,2382,901675,170.8,90.9,79.9,4.02,4.21,3.82,2019-20
