PLAYER,GP,MIN,P3A_all,P3M_all,season,P3A_c_and_s,P3M_c_and_s,avg_speed_off,c_and_s_rate
Yuta Watanabe,22,268,33,12,2020-21,31,11,5.16,0.9393939393939394
Doug McDermott,69,1372,294,128,2019-20,255,111,5.02,0.8673469387755102
Cameron Johnson,57,1255,272,106,2019-20,257,101,4.87,0.9448529411764706
Glenn Robinson III,62,1786,197,77,2019-20,173,69,4.81,0.8781725888324873
Mikal Bridges,73,2042,194,70,2019-20,187,66,4.78,0.9639175257731959
Trey Lyles,63,1271,168,65,2019-20,152,59,4.78,0.9047619047619048
Dario Saric,66,1632,235,84,2019-20,222,79,4.71,0.9446808510638298
Jaren Jackson Jr.,57,1622,368,145,2019-20,326,130,4.71,0.8858695652173914
Pat Connaughton,67,1243,166,55,2019-20,146,47,4.68,0.8795180722891566
Lauri Markkanen,50,1492,317,109,2019-20,302,104,4.66,0.9526813880126183
Georges Niang,66,923,225,90,2019-20,196,79,4.63,0.8711111111111111
Nicolo Melli,60,1042,206,69,2019-20,184,65,4.62,0.8932038834951457
Justin Jackson,65,1045,163,48,2019-20,147,42,4.59,0.901840490797546
Kelly Olynyk,67,1300,234,95,2019-20,208,87,4.53,0.8888888888888888
Mike Scott,68,1207,217,80,2019-20,211,79,4.52,0.9723502304147466
Royce O'Neale,71,2049,244,92,2019-20,216,86,4.52,0.8852459016393442
Langston Galloway,66,1702,331,132,2019-20,312,127,4.49,0.9425981873111783
Thaddeus Young,64,1591,222,79,2019-20,199,74,4.49,0.8963963963963963
Solomon Hill,59,1088,171,63,2019-20,154,55,4.47,0.9005847953216374
JaMychal Green,63,1307,238,92,2019-20,227,88,4.46,0.9537815126050421
P.J. Washington,58,1759,230,86,2019-20,205,79,4.45,0.8913043478260869
Robert Covington,70,2137,480,161,2019-20,427,141,4.45,0.8895833333333333
Avery Bradley,49,1186,173,63,2019-20,151,55,4.44,0.8728323699421965
Bobby Portis,66,1394,187,67,2019-20,180,64,4.43,0.9625668449197861
Brook Lopez,68,1817,325,102,2019-20,305,96,4.42,0.9384615384615385
Dorian Finney-Smith,71,2120,303,114,2019-20,273,106,4.41,0.900990099009901
Gorgui Dieng,63,1096,152,54,2019-20,142,50,4.4,0.9342105263157895
Matisse Thybulle,65,1287,157,56,2019-20,147,55,4.39,0.9363057324840764
Myles Turner,62,1826,250,86,2019-20,237,83,4.38,0.948
Tony Snell,59,1641,254,102,2019-20,223,84,4.38,0.8779527559055118
Maxi Kleber,74,1890,319,119,2019-20,305,115,4.32,0.9561128526645768
Jerami Grant,71,1892,252,98,2019-20,246,96,4.31,0.9761904761904762
OG Anunoby,69,2066,228,89,2019-20,199,76,4.28,0.8728070175438597
Marvin Williams,58,1129,156,56,2019-20,138,50,4.27,0.8846153846153846
Larry Nance Jr.,56,1472,159,56,2019-20,141,53,4.25,0.8867924528301887
Al Horford,67,2026,283,99,2019-20,268,94,4.24,0.9469964664310954
LaMarcus Aldridge,53,1754,157,61,2019-20,137,52,4.2,0.8726114649681529
P.J. Tucker,72,2467,299,107,2019-20,291,105,4.19,0.9732441471571907
Aron Baynes,42,934,168,59,2019-20,163,57,4.18,0.9702380952380952
Terrance Ferguson,56,1257,168,49,2019-20,161,47,4.18,0.9583333333333334
Jeff Green,48,960,183,62,2019-20,158,56,4.13,0.8633879781420765
Markieff Morris,58,1188,228,88,2019-20,199,81,4.13,0.8728070175438597
Serge Ibaka,55,1485,182,70,2019-20,172,65,4.12,0.945054945054945
Nikola Vucevic,62,1998,289,98,2019-20,285,97,4.1,0.986159169550173
Anthony Davis,62,2131,218,72,2019-20,195,67,3.86,0.8944954128440367
Marc Gasol,44,1161,148,57,2019-20,142,55,3.73,0.9594594594594594
