TEAM,GP,W,L,MIN,DIST_FEET,DIST_MILES,DIST_MILES_OFF,DIST_MILES_DEF,AVG_SPEED,AVG_SPEED_OFF,AVG_SPEED_DEF,season,season_type
Atlanta Hawks,67,20,47,16280,6502845,1231.6,661,570.6,4.23,4.57,3.89,2019-20,regular
Boston Celtics,72,48,24,17430,6764529,1281.2,685.9,595.2,4.13,4.45,3.81,2019-20,regular
Brooklyn Nets,72,35,37,17480,6747508,1277.9,701.1,576.8,4.14,4.55,3.72,2019-20,regular
Charlotte Hornets,64,23,41,15510,6129633,1160.9,628.7,532.2,4.23,4.53,3.93,2019-20,regular
Chicago Bulls,65,22,43,15675,6352333,1203.1,640.7,562.4,4.32,4.66,3.99,2019-20,regular
Cleveland Cavaliers,65,19,46,15725,6096532,1154.6,631.7,522.9,4.14,4.37,3.88,2019-20,regular
Dallas Mavericks,73,41,32,17670,6851672,1297.7,715.2,582.4,4.14,4.45,3.81,2019-20,regular
Denver Nuggets,73,46,27,17745,6848795,1297.1,704.2,592.9,4.14,4.4,3.86,2019-20,regular
Detroit Pistons,65,20,45,15725,6104390,1156.1,637.3,518.9,4.15,4.46,3.82,2019-20,regular
Golden State Warriors,65,15,50,15725,6322299,1197.4,642.7,554.7,4.29,4.66,3.93,2019-20,regular
Houston Rockets,72,44,28,17380,6482503,1227.7,629.3,598.5,3.99,4.27,3.74,2019-20,regular
Indiana Pacers,73,45,28,17620,6990011,1323.9,708.4,615.4,4.24,4.53,3.95,2019-20,regular
LA Clippers,72,49,23,17380,6821031,1291.9,693.6,598.3,4.16,4.54,3.79,2019-20,regular
Los Angeles Lakers,71,52,19,17090,6500573,1231.2,649.6,581.5,4.09,4.36,3.83,2019-20,regular
Memphis Grizzlies,73,34,39,17570,6984583,1322.8,714.5,608.3,4.23,4.59,3.88,2019-20,regular
Miami Heat,72,44,28,17505,6868384,1300.8,711,589.8,4.16,4.48,3.83,2019-20,regular
Milwaukee Bucks,72,55,17,17355,6920722,1310.7,697.8,612.9,4.26,4.68,3.87,2019-20,regular
Minnesota Timberwolves,64,19,45,15560,6027594,1141.6,616,525.6,4.14,4.48,3.79,2019-20,regular
New Orleans Pelicans,71,30,41,17165,6983395,1322.6,715.7,606.9,4.33,4.82,3.86,2019-20,regular
New York Knicks,66,21,45,15965,6194755,1173.2,631.2,542.1,4.15,4.46,3.85,2019-20,regular
Oklahoma City Thunder,72,44,28,17430,6683596,1265.8,677.3,588.6,4.07,4.35,3.79,2019-20,regular
Orlando Magic,73,33,40,17570,6962839,1318.7,721.8,597,4.23,4.6,3.86,2019-20,regular
Philadelphia 76ers,73,43,30,17595,6831177,1293.8,706.2,587.6,4.14,4.39,3.88,2019-20,regular
Phoenix Suns,72,34,38,17330,6940996,1314.6,714.5,600.1,4.26,4.65,3.87,2019-20,regular
Portland Trail Blazers,73,34,39,17595,6781620,1284.4,695.5,588.9,4.11,4.38,3.84,2019-20,regular
Sacramento Kings,71,31,40,17215,6880562,1303.1,696.9,606.2,4.23,4.53,3.93,2019-20,regular
San Antonio Spurs,70,31,39,16950,6838637,1295.2,710,585.2,4.3,4.73,3.88,2019-20,regular
Toronto Raptors,71,52,19,17140,6651865,1259.8,663.6,596.2,4.1,4.39,3.82,2019-20,regular
Utah Jazz,72,44,28,17355,6777492,1283.6,705.4,578.2,4.16,4.48,3.83,2019-20,regular
Washington Wizards,72,25,47,17355,6945430,1315.4,712.5,602.9,4.27,4.71,3.85,2019-20,regular
Boston Celtics,17,10,7,4155,1589030,301,161.5,139.5,4.05,4.37,3.73,2019-20,playoff
Brooklyn Nets,4,0,4,960,382817,72.5,39.5,33,4.24,4.72,3.78,2019-20,playoff
Dallas Mavericks,6,2,4,1465,575416,109,58.7,50.3,4.18,4.51,3.85,2019-20,playoff
