TEAM,GP,W,L,MIN,PASSES_MADE,PASSES_RECEIVED,AST,SECONDARY_AST,POTENTIAL_AST,AST_PTS_CREATED,AST_ADJ,AST_TO_PASS%,AST_TO_PASS%_ADJ,season,season_type
Atlanta Hawks,67,20,47,16280,18172,18189,1605,175,3062,4053,1917,8.8,10.5,2019-20,regular
Boston Celtics,72,48,24,17430,20378,20384,1655,174,2906,4221,1969,8.1,9.7,2019-20,regular
Brooklyn Nets,72,35,37,17480,19945,19973,1761,247,3266,4519,2158,8.8,10.8,2019-20,regular
Charlotte Hornets,64,23,41,15510,19688,19694,1525,202,2862,3947,1886,7.7,9.6,2019-20,regular
Chicago Bulls,65,22,43,15675,18534,18536,1510,181,2968,3955,1847,8.1,10,2019-20,regular
Cleveland Cavaliers,65,19,46,15725,18800,18803,1500,171,2832,3829,1801,8,9.6,2019-20,regular
Dallas Mavericks,73,41,32,17670,21139,21135,1794,242,3378,4753,2179,8.5,10.3,2019-20,regular
Denver Nuggets,73,46,27,17745,22299,22282,1952,217,3318,4878,2321,8.8,10.4,2019-20,regular
Detroit Pistons,65,20,45,15725,18725,18719,1566,159,2966,4078,1875,8.4,10,2019-20,regular
Golden State Warriors,65,15,50,15725,21666,21686,1663,228,3079,4225,2053,7.7,9.5,2019-20,regular
Houston Rockets,72,44,28,17380,17564,17593,1557,215,3162,4134,1908,8.9,10.9,2019-20,regular
Indiana Pacers,73,45,28,17620,21578,21589,1888,213,3417,4783,2289,8.7,10.6,2019-20,regular
LA Clippers,72,49,23,17380,19514,19506,1708,220,3068,4439,2079,8.8,10.7,2019-20,regular
Los Angeles Lakers,71,52,19,17090,20157,20140,1803,202,3296,4505,2151,8.9,10.7,2019-20,regular
Memphis Grizzlies,73,34,39,17570,22293,22301,1965,259,3493,4923,2375,8.8,10.7,2019-20,regular
Miami Heat,72,44,28,17505,21053,21053,1861,218,3586,4940,2293,8.8,10.9,2019-20,regular
Milwaukee Bucks,72,55,17,17355,20175,20187,1863,228,3491,4853,2249,9.2,11.1,2019-20,regular
Minnesota Timberwolves,64,19,45,15560,19593,19605,1525,155,3055,4013,1835,7.8,9.4,2019-20,regular
New Orleans Pelicans,71,30,41,17165,22555,22553,1904,271,3547,4995,2365,8.4,10.5,2019-20,regular
New York Knicks,66,21,45,15965,19627,19609,1456,143,2832,3712,1735,7.4,8.8,2019-20,regular
Oklahoma City Thunder,72,44,28,17430,20648,20656,1562,243,2798,3943,1923,7.6,9.3,2019-20,regular
Orlando Magic,73,33,40,17570,19817,19821,1747,208,3494,4547,2148,8.8,10.8,2019-20,regular
Philadelphia 76ers,73,43,30,17595,21881,21893,1884,282,3449,4797,2300,8.6,10.5,2019-20,regular
Phoenix Suns,72,34,38,17330,21051,21055,1958,221,3777,5059,2372,9.3,11.3,2019-20,regular
Portland Trail Blazers,73,34,39,17595,17767,17780,1505,180,2795,3869,1805,8.5,10.2,2019-20,regular
Sacramento Kings,71,31,40,17215,20143,20142,1689,182,3189,4361,1996,8.4,9.9,2019-20,regular
San Antonio Spurs,70,31,39,16950,19610,19623,1728,213,3031,4419,2078,8.8,10.6,2019-20,regular
Toronto Raptors,71,52,19,17140,20754,20756,1789,272,3361,4657,2205,8.6,10.6,2019-20,regular
Utah Jazz,72,44,28,17355,21344,21353,1615,204,2925,4293,2001,7.6,9.4,2019-20,regular
Washington Wizards,72,25,47,17355,22161,22151,1801,190,3376,4678,2172,8.1,9.8,2019-20,regular
Boston Celtics,17,10,7,4155,4690,4690,385,36,722,1017,456,8.2,9.7,2019-20,playoff
Brooklyn Nets,4,0,4,960,1182,1182,103,10,224,281,126,8.7,10.7,2019-20,playoff
Dallas Mavericks,6,2,4,1465,1664,1664,129,21,243,339,159,7.8,9.6,2019-20,playoff
Denver Nuggets,19,9,10,4585,5386,5384,428,46,833,1111,514,7.9,9.5,2019-20,playoff
Houston Rockets,12,5,7,2905,3068,3068,256,38,520,694,305,8.3,9.9,2019-20,playoff
Indiana Pacers,4,0,4,960,1088,1088,90,10,163,225,106,8.3,9.7,2019-20,playoff
LA Clippers,13,7,6,3145,3400,3400,275,43,523,751,360,8.1,10.6,2019-20,playoff
Los Angeles Lakers,21,16,5,5040,5823,5824,538,76,1001,1386,664,9.2,11.4,2019-20,playoff
Miami Heat,21,14,7,5090,6134,6134,523,66,1025,1401,649,8.5,10.6,2019-20,playoff
Milwaukee Bucks,10,5,5,2425,2663,2663,243,33,449,637,296,9.1,11.1,2019-20,playoff
Oklahoma City Thunder,7,3,4,1705,1928,1928,125,17,282,338,155,6.5,8,2019-20,playoff
