TEAM,GP,W,L,WIN%,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,+/-,SEASON,shotclock
Utah Jazz,72,52,20,0.722,3471,8382,2971,6344,46.8,1205,3098,38.9,1235,1546,79.9,765,2709,3474,1703,1023,474,371,282,1335,1365,666,2020-21,all
Phoenix Suns,72,51,21,0.708,3496,8300,3118,6357,49,940,2490,37.8,1124,1347,83.4,630,2462,3092,1939,902,517,312,258,1374,1294,419,2020-21,all
Philadelphia 76ers,72,49,23,0.681,3486,8182,2981,6257,47.6,811,2169,37.4,1409,1836,76.7,722,2522,3244,1706,1040,655,447,335,1456,1509,402,2020-21,all
Brooklyn Nets,72,48,24,0.667,3481,8537,3106,6289,49.4,1020,2600,39.2,1305,1623,80.4,640,2559,3199,1929,975,484,379,330,1371,1361,324,2020-21,all
Denver Nuggets,72,47,25,0.653,3496,8284,3114,6422,48.5,927,2462,37.7,1129,1406,80.3,758,2442,3200,1933,972,582,323,325,1374,1379,355,2020-21,all
LA Clippers,72,47,25,0.653,3456,8209,3009,6242,48.2,1027,2498,41.1,1164,1387,83.9,678,2501,3179,1756,949,509,295,304,1383,1303,445,2020-21,all
Milwaukee Bucks,72,46,26,0.639,3466,8649,3221,6610,48.7,1038,2669,38.9,1169,1539,76,741,2724,3465,1834,995,585,334,348,1244,1320,424,2020-21,all
Dallas Mavericks,72,42,30,0.583,3461,8096,2958,6287,47,994,2744,36.2,1186,1524,77.8,657,2463,3120,1647,869,450,311,264,1396,1446,163,2020-21,all
Los Angeles Lakers,72,42,30,0.583,3491,7887,2925,6197,47.2,796,2248,35.4,1241,1679,73.9,695,2490,3185,1775,1095,562,386,327,1377,1530,201,2020-21,all
Portland Trail Blazers,72,42,30,0.583,3461,8360,2973,6558,45.3,1132,2939,38.5,1282,1558,82.3,766,2441,3207,1531,799,496,363,333,1362,1374,129,2020-21,all
Atlanta Hawks,72,41,31,0.569,3481,8186,2937,6281,46.8,895,2402,37.3,1417,1745,81.2,760,2525,3285,1737,953,503,342,363,1392,1422,167,2020-21,all
New York Knicks,72,41,31,0.569,3486,7706,2839,6225,45.6,847,2163,39.2,1181,1506,78.4,696,2554,3250,1541,932,507,365,391,1473,1286,166,2020-21,all
Miami Heat,72,40,32,0.556,3476,7781,2824,6029,46.8,932,2606,35.8,1201,1520,79,579,2409,2988,1895,1013,569,286,287,1363,1414,2,2020-21,all
Golden State Warriors,72,39,33,0.542,3461,8187,2973,6347,46.8,1048,2789,37.6,1193,1520,78.5,574,2524,3098,1991,1080,587,342,312,1526,1406,76,2020-21,all
Memphis Grizzlies,72,38,34,0.528,3481,8157,3085,6608,46.7,803,2258,35.6,1184,1536,77.1,803,2543,3346,1938,957,655,364,377,1349,1318,74,2020-21,all
Boston Celtics,72,36,36,0.5,3476,8109,2985,6401,46.6,979,2618,37.4,1160,1496,77.5,765,2421,3186,1689,1012,556,383,334,1471,1389,105,2020-21,all
Indiana Pacers,72,34,38,0.472,3491,8302,3115,6567,47.4,889,2445,36.4,1183,1493,79.2,648,2424,3072,1973,975,611,460,380,1453,1306,-3,2020-21,all
Washington Wizards,72,34,38,0.472,3481,8398,3108,6547,47.5,733,2088,35.1,1449,1884,76.9,697,2557,3254,1835,1036,528,297,348,1555,1586,-132,2020-21,all
Charlotte Hornets,72,33,39,0.458,3471,7881,2875,6324,45.5,985,2666,36.9,1146,1505,76.1,762,2389,3151,1933,1069,565,344,347,1298,1340,-139,2020-21,all
San Antonio Spurs,72,33,39,0.458,3496,7998,3014,6518,46.2,716,2046,35,1254,1584,79.2,669,2489,3158,1759,821,505,366,369,1293,1338,-125,2020-21,all
Chicago Bulls,72,31,41,0.431,3476,7969,3035,6380,47.6,904,2446,37,995,1258,79.1,693,2544,3237,1927,1089,482,304,364,1362,1277,-64,2020-21,all
New Orleans Pelicans,72,31,41,0.431,3486,8251,3060,6412,47.7,762,2190,34.8,1369,1878,72.9,845,2568,3413,1872,1052,545,315,426,1295,1534,-21,2020-21,all
Sacramento Kings,72,31,41,0.431,3461,8189,3067,6382,48.1,874,2400,36.4,1181,1585,74.5,674,2307,2981,1836,963,543,358,336,1400,1348,-265,2020-21,all
Toronto Raptors,72,27,45,0.375,3461,8011,2859,6383,44.8,1041,2831,36.8,1252,1536,81.5,680,2314,2994,1735,952,618,388,402,1526,1405,-34,2020-21,all
Minnesota Timberwolves,72,23,49,0.319,3481,8073,2932,6546,44.8,944,2706,34.9,1265,1662,76.1,757,2376,3133,1846,1027,632,398,398,1507,1432,-400,2020-21,all
Cleveland Cavaliers,72,22,50,0.306,3486,7476,2778,6175,45,720,2141,33.6,1200,1614,74.3,751,2327,3078,1716,1114,559,325,425,1308,1451,-608,2020-21,all
Oklahoma City Thunder,72,22,50,0.306,3471,7560,2795,6338,44.1,857,2529,33.9,1113,1536,72.5,715,2568,3283,1588,1162,504,316,378,1305,1336,-766,2020-21,all
Orlando Magic,72,21,51,0.292,3466,7488,2754,6423,42.9,784,2288,34.3,1196,1543,77.5,747,2525,3272,1571,924,496,318,385,1237,1342,-670,2020-21,all
Detroit Pistons,72,20,52,0.278,3486,7676,2783,6162,45.2,832,2370,35.1,1278,1683,75.9,694,2381,3075,1743,1075,531,371,419,1477,1469,-322,2020-21,all
Houston Rockets,72,17,55,0.236,3461,7833,2826,6372,44.4,992,2923,33.9,1189,1606,74,671,2396,3067,1699,1060,546,361,378,1407,1388,-569,2020-21,all
Milwaukee Bucks,73,56,17,0.767,3519,8663,3160,6638,47.6,1007,2840,35.5,1336,1800,74.2,691,3083,3774,1889,1102,526,429,326,1431,1586,736,2019-20,all
Toronto Raptors,72,53,19,0.736,3476,8118,2897,6331,45.8,995,2663,37.4,1329,1670,79.6,685,2583,3268,1816,1067,636,358,395,1559,1466,449,2019-20,all
Los Angeles Lakers,71,52,19,0.732,3418,8054,3006,6269,48,782,2242,34.9,1260,1728,72.9,757,2490,3247,1803,1077,612,468,263,1471,1544,411,2019-20,all
LA Clippers,72,49,23,0.681,3476,8377,2992,6425,46.6,895,2410,37.1,1498,1894,79.1,767,2664,3431,1708,1051,511,338,338,1594,1647,464,2019-20,all
Boston Celtics,72,48,24,0.667,3486,8183,2971,6448,46.1,905,2487,36.4,1336,1668,80.1,768,2549,3317,1655,995,595,406,396,1553,1487,454,2019-20,all
