Season,Team,fast_break_ratio,league
2016-17,Golden State Warriors,26.0%,NBA
2018-19,Sacramento Kings,24.4%,NBA
2016-17,Phoenix Suns,24.0%,NBA
2018-19,Los Angeles Lakers,23.1%,NBA
2017-18,Golden State Warriors,22.7%,NBA
2019-20,Toronto Raptors,22.3%,NBA
2017-18,Los Angeles Lakers,21.6%,NBA
2018-19,Golden State Warriors,21.6%,NBA
2019-20,Los Angeles Lakers,21.6%,NBA
2018-19,Toronto Raptors,21.3%,NBA
2018-19,Oklahoma City Thunder,21.2%,NBA
2016-17,Oklahoma City Thunder,21.1%,NBA
2020-21,Memphis Grizzlies,20.4%,NBA
2019-20,Memphis Grizzlies,20.3%,NBA
2019-20,Milwaukee Bucks,20.1%,NBA
2018-19,Milwaukee Bucks,20.0%,NBA
2016-17,Washington Wizards,19.5%,NBA
2016-17,Houston Rockets,19.3%,NBA
2016-17,Los Angeles Lakers,19.3%,NBA
2018-19,Boston Celtics,19.3%,NBA
2016-17,New Orleans Pelicans,19.2%,NBA
2020-21,Indiana Pacers,19.2%,NBA
2019-20,New Orleans Pelicans,19.1%,NBA
2017-18,Oklahoma City Thunder,18.8%,NBA
2018-19,Phoenix Suns,18.8%,NBA
2017-18,Indiana Pacers,18.7%,NBA
2016-17,Orlando Magic,18.5%,NBA
2019-20,Chicago Bulls,18.5%,NBA
2017-18,Milwaukee Bucks,18.4%,NBA
2017-18,Phoenix Suns,18.4%,NBA
2017-18,New Orleans Pelicans,18.3%,NBA
2018-19,Indiana Pacers,18.0%,NBA
2016-17,Chicago Bulls,17.9%,NBA
2018-19,Atlanta Hawks,17.9%,NBA
2019-20,Boston Celtics,17.9%,NBA
2020-21,Philadelphia 76ers,17.9%,NBA
2016-17,Milwaukee Bucks,17.7%,NBA
2017-18,Memphis Grizzlies,17.7%,NBA
2016-17,Brooklyn Nets,17.6%,NBA
2018-19,Philadelphia 76ers,17.3%,NBA
2019-20,Golden State Warriors,17.2%,NBA
2019-20,Phoenix Suns,17.2%,NBA
2016-17,LA Clippers,17.1%,NBA
2018-19,New Orleans Pelicans,17.1%,NBA
2016-17,Denver Nuggets,16.9%,NBA
2020-21,Golden State Warriors,16.9%,NBA
2016-17,Philadelphia 76ers,16.8%,NBA
2020-21,秋田ノーザンハピネッツ,16.7%,B.LEAGUE
2018-19,LA Clippers,16.5%,NBA
2018-19,Washington Wizards,16.5%,NBA
2019-20,Houston Rockets,16.5%,NBA
2020-21,Charlotte Hornets,16.5%,NBA
2020-21,Sacramento Kings,16.5%,NBA
2020-21,New Orleans Pelicans,16.4%,NBA
2020-21,Toronto Raptors,16.4%,NBA
2020-21,エヴェッサ大阪,16.3%,B.LEAGUE
2017-18,Denver Nuggets,16.3%,NBA
2017-18,LA Clippers,16.3%,NBA
2017-18,Orlando Magic,16.3%,NBA
2019-20,Philadelphia 76ers,16.3%,NBA
2016-17,Minnesota Timberwolves,16.1%,NBA
2020-21,Brooklyn Nets,16.1%,NBA
2020-21,Los Angeles Lakers,16.1%,NBA
2020-21,Milwaukee Bucks,16.1%,NBA
2017-18,Toronto Raptors,15.9%,NBA
2018-19,Memphis Grizzlies,15.9%,NBA
2016-17,Atlanta Hawks,15.7%,NBA
2016-17,Detroit Pistons,15.7%,NBA
2019-20,LA Clippers,15.7%,NBA
2016-17,Cleveland Cavaliers,15.6%,NBA
2019-20,Brooklyn Nets,15.6%,NBA
2019-20,Indiana Pacers,15.6%,NBA
2019-20,San Antonio Spurs,15.6%,NBA
2019-20,Washington Wizards,15.6%,NBA
2019-20,Sacramento Kings,15.5%,NBA
2020-21,島根スサノオマジック,15.4%,B.LEAGUE
2017-18,千葉ジェッツ,15.4%,B.LEAGUE
2016-17,Boston Celtics,15.3%,NBA
2016-17,San Antonio Spurs,15.3%,NBA
2018-19,Chicago Bulls,15.3%,NBA
2019-20,Atlanta Hawks,15.3%,NBA
2019-20,秋田ノーザンハピネッツ,15.3%,B.LEAGUE
2016-17,Toronto Raptors,15.2%,NBA
2017-18,Chicago Bulls,15.2%,NBA
2018-19,Denver Nuggets,15.2%,NBA
2019-20,Portland Trail Blazers,15.2%,NBA
2017-18,Cleveland Cavaliers,15.1%,NBA
2018-19,Dallas Mavericks,15.1%,NBA
2019-20,Charlotte Hornets,15.1%,NBA
2020-21,Phoenix Suns,15.1%,NBA
2018-19,アルバルク東京,15.0%,B.LEAGUE
2019-20,千葉ジェッツ,14.9%,B.LEAGUE
2019-20,Orlando Magic,14.8%,NBA
2019-20,サンロッカーズ渋谷,14.7%,B.LEAGUE
2020-21,Miami Heat,14.7%,NBA
2018-19,千葉ジェッツ,14.6%,B.LEAGUE
2019-20,レバンガ北海道,14.6%,B.LEAGUE
2017-18,Washington Wizards,14.5%,NBA
2020-21,Cleveland Cavaliers,14.5%,NBA
2020-21,宇都宮ブレックス,14.4%,B.LEAGUE
2016-17,Miami Heat,14.4%,NBA
2020-21,Denver Nuggets,14.4%,NBA
2020-21,Minnesota Timberwolves,14.4%,NBA
2019-20,エヴェッサ大阪,14.3%,B.LEAGUE
2017-18,Sacramento Kings,14.1%,NBA
2018-19,Charlotte Hornets,14.1%,NBA
2018-19,Houston Rockets,14.1%,NBA
2018-19,New York Knicks,14.1%,NBA
2019-20,Denver Nuggets,14.1%,NBA
2020-21,San Antonio Spurs,14.1%,NBA
2019-20,名古屋ダイヤモンドドルフィンズ,14.1%,B.LEAGUE
2020-21,サンロッカーズ渋谷,14.1%,B.LEAGUE
2020-21,千葉ジェッツ,14.0%,B.LEAGUE
