player,dist,pos,age,g,gs,mp,fg,fga,fgpercent,x3p,x3pa,x3ppercent,x2p,x2pa,x2ppercent,ft,fta,ftpercent,orb,drb,trb,ast,stl,blk,tov,pf,pts,season,per,tspercent,x3par,ftr,orbpercent,drbpercent,trbpercent,astpercent,stlpercent,blkpercent,tovpercent,usgpercent,ows,dws,ws,ws_48,obpm,dbpm,bpm,vorp,tot_flag,mpg,a2to
Rui Hachimura_2020,0,PF,21,41,41,1217,6.4,13.5,0.478,0.6,2.2,0.274,5.9,11.3,0.517,2.7,3.3,0.829,1.9,5.5,7.3,2.1,1,0.2,1.2,2.6,16.2,2020,13.9,0.543,0.16,0.243,5.5,17.4,11.2,8.3,1.3,0.5,7.5,18.7,1.3,0.4,1.7,0.066,-1.1,-1.9,-3,-0.3,0,29.68292683,1.75
Tobias Harris_2012,0.669450873,SF,19,42,9,479,5.9,12.7,0.467,0.5,1.7,0.261,5.5,11,0.5,3.3,4.1,0.815,2.3,5.3,7.6,1.7,1,0.5,2.3,3.4,15.6,2012,14.2,0.54,0.136,0.32,6.7,16.8,11.6,7.4,1.4,1.1,13.9,20.6,0.4,0.4,0.9,0.087,-1,-0.9,-1.9,0,0,11.4047619,0.739130435
DeMar DeRozan_2010,0.848893743,SG,20,77,65,1664,5.5,11.1,0.498,0.1,0.3,0.25,5.4,10.7,0.506,3.2,4.2,0.763,1.4,3.4,4.8,1.1,0.9,0.4,1.3,3.8,14.3,2010,12.5,0.554,0.031,0.379,4.8,10.9,7.9,4.9,1.3,0.8,9.4,18.1,2,0.3,2.3,0.066,-1.5,-1.3,-2.8,-0.3,0,21.61038961,0.846153846
T.J. Warren_2015,1.273268091,SF,21,40,1,614,6.6,12.5,0.528,0.3,1.2,0.238,6.3,11.3,0.56,0.8,1.1,0.737,2.4,2.6,5,1.5,1.1,0.5,1.6,3,14.4,2015,14,0.551,0.098,0.089,7.3,7.9,7.6,6.6,1.5,1.1,10.8,17.8,0.7,0.4,1.1,0.085,-0.6,-0.4,-0.9,0.2,0,15.35,0.9375
Alec Burks_2012,1.676542395,SG,20,59,0,939,5.9,13.7,0.429,0.6,1.7,0.333,5.3,12,0.442,4,5.5,0.727,2.2,2.9,5.1,2.1,1,0.2,2,3.2,16.3,2012,14,0.506,0.126,0.401,6.9,9.3,8.1,9.5,1.5,0.4,10.8,22.5,1.1,0.4,1.5,0.076,-0.6,-1.4,-2,0,0,15.91525424,1.05
Kawhi Leonard_2012,1.739179302,SF,20,64,39,1534,4.7,9.5,0.493,1,2.6,0.376,3.7,6.9,0.536,1.6,2.1,0.773,2.4,5.2,7.7,1.6,2,0.6,1,2.1,11.9,2012,16.6,0.573,0.27,0.218,7.9,16.4,12.2,6.6,2.9,1.1,9,14.5,3.1,2.4,5.5,0.171,1.6,1.8,3.4,2.1,0,23.96875,1.6
Harrison Barnes_2013,1.847814923,SF,20,81,81,2058,4.8,11,0.439,0.9,2.5,0.359,3.9,8.4,0.464,2.5,3.3,0.758,0.9,4.9,5.8,1.7,0.9,0.2,1.8,2.4,13.1,2013,11,0.526,0.231,0.303,2.9,14.5,8.9,7.3,1.3,0.5,12.4,17.7,0.9,1.9,2.8,0.065,-1.6,-0.1,-1.7,0.1,0,25.40740741,0.944444444
Jimmy Butler_2012,1.875283845,SG,22,42,0,359,3.2,7.9,0.405,0.2,1.1,0.182,3,6.8,0.441,4.3,5.6,0.768,2.3,3.3,5.6,1.4,1.1,0.5,1.4,2,10.9,2012,12.5,0.526,0.139,0.709,7.3,10.1,8.7,5.7,1.6,1,11.9,14.9,0.5,0.6,1.1,0.144,-1.8,0.5,-1.3,0.1,0,8.547619048,1
Miles Bridges_2019,2.057095931,SF,20,80,25,1696,5,10.8,0.464,1.4,4.2,0.325,3.7,6.6,0.553,1.2,1.6,0.753,1.4,5.4,6.9,2,1.2,1,1.1,2.4,12.7,2019,13.1,0.548,0.391,0.151,4.2,16.6,10.3,8.1,1.6,2.5,8.4,15.1,1.4,1.5,2.9,0.083,-0.9,0.1,-0.8,0.5,0,21.2,1.818181818
Wesley Matthews_2010,2.113858445,SG,23,82,48,2025,4.9,10,0.483,1.1,2.9,0.382,3.7,7.1,0.525,2.8,3.4,0.829,0.9,2.5,3.4,2.2,1.1,0.3,1.7,2.7,13.7,2010,12.3,0.592,0.292,0.342,3,8,5.6,9,1.6,0.6,12.5,16.5,2.6,1.9,4.6,0.108,-0.6,0,-0.5,0.8,0,24.69512195,1.294117647
Markelle Fultz_2018,2.296025696,SG,19,14,0,253,6.4,15.8,0.405,0,0.1,0,6.4,15.7,0.409,1.4,3,0.476,1.6,4.6,6.1,7.5,1.7,0.6,2.4,3.1,14.2,2018,12.4,0.416,0.009,0.189,4.9,13.1,9.2,31.3,2.3,1.3,12.4,23.1,-0.2,0.4,0.2,0.043,-3.3,0.7,-2.6,0,0,18.07142857,3.125
