player,pos,age,g,gs,mp,fg,fga,fgpercent,x3p,x3pa,x3ppercent,x2p,x2pa,x2ppercent,ft,fta,ftpercent,orb,drb,trb,ast,stl,blk,tov,pf,pts,season,per,tspercent,x3par,ftr,orbpercent,drbpercent,trbpercent,astpercent,stlpercent,blkpercent,tovpercent,usgpercent,ows,dws,ws,ws_48,obpm,dbpm,bpm,vorp,tot_flag,mpg,a2to,dist
Rui Hachimura,PF,21,41,41,1217,6.4,13.5,0.478,0.6,2.2,0.274,5.9,11.3,0.517,2.7,3.3,0.829,1.9,5.5,7.3,2.1,1,0.2,1.2,2.6,16.2,2020,13.9,0.543,0.16,0.243,5.5,17.4,11.2,8.3,1.3,0.5,7.5,18.7,1.3,0.4,1.7,0.066,-1.1,-1.9,-3,-0.3,0,29.682926829268293,1.7500000000000002,0
Troy Brown Jr.,SG,20,61,14,1519,5.4,12,0.453,1.2,3.4,0.345,4.2,8.6,0.496,2,2.7,0.754,1.5,6.2,7.7,3.4,1.8,0.1,1.5,2.6,14.1,2020,13.7,0.534,0.287,0.225,4.4,19.6,11.7,13,2.3,0.3,10.5,17,1.2,0.9,2.2,0.069,-0.8,-0.4,-1.3,0.3,0,24.901639344262296,2.2666666666666666,0.5130911775263932
Jerami Grant,PF,25,64,22,1676,5.6,12,0.471,1.9,4.7,0.4,3.8,7.3,0.518,2.7,3.7,0.744,1.1,3.7,4.9,1.7,0.9,1.1,1.2,3,15.9,2020,14.2,0.585,0.394,0.308,3.5,11.6,7.5,6.7,1.3,2.9,8,17.8,2.4,1.7,4,0.116,-0.1,-0.4,-0.4,0.7,0,26.1875,1.4166666666666667,0.6075827842860189
Mikal Bridges,SF,23,65,24,1772,4.3,8.3,0.516,1.1,3.2,0.352,3.1,5,0.621,1.8,2.1,0.848,1.2,4.1,5.3,2.3,1.9,0.8,1.3,2.9,11.5,2020,13,0.623,0.391,0.258,3.6,12.8,8.1,8.9,2.5,1.9,12.5,12.4,2.2,1.9,4.1,0.111,-0.7,1.5,0.8,1.3,0,27.26153846153846,1.769230769230769,0.652466554403346
Robert Covington,PF,29,62,60,1867,5.4,12.5,0.432,2.9,8.2,0.349,2.5,4.3,0.589,1.7,2.1,0.796,1,6.6,7.7,1.4,1.8,1.5,1.8,3.8,15.3,2020,13.6,0.571,0.654,0.167,3,19.9,11.2,5.8,2.4,3.6,11.8,17.4,0.9,2.4,3.3,0.085,-1,1.1,0.1,1,1,30.112903225806452,0.7777777777777777,0.7132609208275145
Bruce Brown,SG,23,58,43,1634,4.4,9.8,0.443,0.7,2.1,0.344,3.6,7.7,0.47,1.9,2.6,0.739,1.3,4.7,6,5.1,1.4,0.6,2.2,3.6,11.4,2020,11.9,0.518,0.215,0.266,4.2,15,9.5,20.4,1.9,1.5,16.7,16,0.8,1.4,2.1,0.062,-2,0.8,-1.2,0.3,0,28.17241379310345,2.318181818181818,0.7535003486695862
P.J. Washington,PF,21,58,57,1759,5.5,12.1,0.455,1.8,4.7,0.374,3.7,7.3,0.507,1.8,2.8,0.647,1.2,5.3,6.5,2.5,1,0.9,1.9,3.2,14.5,2020,12.4,0.547,0.39,0.231,3.5,16.6,9.8,11.3,1.5,2.3,12.5,18.6,0.5,1.4,2,0.054,-1.7,0.1,-1.6,0.2,0,30.32758620689655,1.3157894736842106,0.7614191557531135
Thaddeus Young,PF,31,64,16,1591,6.1,13.6,0.448,1.8,5,0.356,4.3,8.6,0.501,1,1.6,0.583,2.1,5,7.1,2.6,2.1,0.5,2.3,3,14.9,2020,13.3,0.521,0.369,0.12,6.2,16.1,10.9,11.3,2.8,1.4,13.9,19.7,-0.2,2.1,1.9,0.058,-1.4,0.2,-1.1,0.4,0,24.859375,1.1304347826086958,0.7987029014691156
Nemanja Bjelica,PF,31,64,61,1821,5.7,11.9,0.475,2.5,5.8,0.424,3.2,6.1,0.524,1.2,1.4,0.822,2.1,6,8.1,3.5,1.1,0.7,1.8,3.8,15,2020,15.6,0.597,0.488,0.121,6.5,19.4,12.8,14.6,1.4,1.7,12.6,17.4,3,1.7,4.7,0.125,1.2,0.4,1.6,1.7,0,28.453125,1.9444444444444444,0.9655897998437472
Josh Okogie,SG,21,62,28,1547,4,9.3,0.427,1,3.6,0.266,3,5.7,0.529,3.5,4.4,0.796,2,4.2,6.2,2.3,1.6,0.6,2,3.2,12.4,2020,11.5,0.553,0.387,0.48,5.7,12.8,9.1,8.9,2,1.4,15.3,15.1,1,1.2,2.2,0.067,-2.4,0,-2.4,-0.1,0,24.951612903225808,1.15,1.0551783048852532
Eric Paschall,PF,23,60,26,1654,6.9,13.9,0.497,0.8,2.8,0.287,6.1,11.1,0.55,3.6,4.6,0.774,1.8,4.2,6,2.8,0.7,0.3,2,2.7,18.2,2020,14.5,0.571,0.202,0.331,5.2,13.1,9,12.7,0.9,0.7,11.4,21.4,1.6,0.5,2.1,0.062,-0.7,-2,-2.7,-0.3,0,27.566666666666666,1.4,1.1213027727769507
