player,height_1,height_2,weight
Precious Achiuwa,6,9,225
Jaylen Adams,6,0,225
Steven Adams,6,11,265
Bam Adebayo,6,9,255
LaMarcus Aldridge,6,11,250
Kyle Alexander,6,10,216
Ty-Shon Alexander,6,4,195
Nickeil Alexander-Walker,6,5,205
Grayson Allen,6,4,198
Jarrett Allen,6,11,243
Al-Farouq Aminu,6,8,220
Kyle Anderson,6,9,230
Giannis Antetokounmpo,6,11,242
Kostas Antetokounmpo,6,10,200
Thanasis Antetokounmpo,6,6,219
Carmelo Anthony,6,8,238
Cole Anthony,6,3,185
OG Anunoby,6,7,232
Ryan Arcidiacono,6,3,195
Trevor Ariza,6,8,215
D.J. Augustin,5,11,183
Deni Avdija,6,9,210
Deandre Ayton,6,11,250
Udoka Azubuike,7,0,280
Dwayne Bacon,6,6,221
Marvin Bagley III,6,11,235
LaMelo Ball,6,8,180
Lonzo Ball,6,6,190
Mo Bamba,7,0,231
Desmond Bane,6,6,215
J.J. Barea,5,10,180
Harrison Barnes,6,8,225
RJ Barrett,6,6,214
Will Barton,6,5,181
Nicolas Batum,6,9,230
Aron Baynes,6,10,260
Kent Bazemore,6,4,195
Darius Bazley,6,8,208
Bradley Beal,6,3,207
Malik Beasley,6,4,187
Marco Belinelli,6,5,220
DeAndre' Bembry,6,5,210
Davis Bertans,6,10,225
Patrick Beverley,6,1,180
Saddiq Bey,6,8,215
Tyler Bey,6,7,215
Khem Birch,6,9,233
Goga Bitadze,6,11,250
Bismack Biyombo,6,8,255
Nemanja Bjelica,6,10,234
Eric Bledsoe,6,1,214
Keljin Blevins,6,6,200
Bogdan Bogdanovic,6,6,220
Bojan Bogdanovic,6,8,226
Bol Bol,7,2,220
Leandro Bolmaro,6,7,200
Isaac Bonga,6,8,180
Devin Booker,6,5,206
Chris Boucher,6,9,200
Brian Bowen II,6,6,190
Avery Bradley,6,3,180
Tony Bradley,6,10,248
Jarrell Brantley,6,5,250
Ignas Brazdeikis,6,6,221
Corey Brewer,6,9,188
Mikal Bridges,6,6,209
Miles Bridges,6,6,225
Oshae Brissett,6,7,210
Malcolm Brogdon,6,5,229
Dillon Brooks,6,7,225
Bruce Brown,6,4,202
Jaylen Brown,6,6,223
Moses Brown,7,2,245
Sterling Brown,6,5,219
Troy Brown Jr.,6,6,215
Jalen Brunson,6,1,190
Thomas Bryant,6,10,248
Reggie Bullock,6,6,205
Alec Burks,6,6,214
Deonte Burton,6,4,240
Jimmy Butler,6,7,230
Bruno Caboclo,6,9,218
Devontae Cacok,6,8,240
Kentavious Caldwell-Pope,6,5,204
Vlatko Cancar,6,8,236
Clint Capela,6,10,240
Vernon Carey Jr.,6,10,270
DeMarre Carroll,6,6,215
Jevon Carter,6,1,200
Wendell Carter Jr.,6,9,270
Michael Carter-Williams,6,5,190
Alex Caruso,6,5,186
Willie Cauley-Stein,7,0,240
Tyson Chandler,7,0,235
Wilson Chandler,6,8,235
Zylan Cheatham,6,5,220
Chris Chiozza,5,11,175
Marquese Chriss,6,9,240
Gary Clark,6,6,225
Brandon Clarke,6,8,215
Jordan Clarkson,6,4,194
Nicolas Claxton,6,11,215
Chris Clemons,5,9,180
Antonius Cleveland,6,5,195
Amir Coffey,6,7,210
John Collins,6,9,235
Zach Collins,6,11,250
Mike Conley,6,1,175
Pat Connaughton,6,5,209
Robert Covington,6,7,209
Torrey Craig,6,7,221
Jae Crowder,6,6,235
Jarrett Culver,6,6,195
Seth Curry,6,2,185
Stephen Curry,6,3,185
Troy Daniels,6,4,200
Anthony Davis,6,10,253
Ed Davis,6,9,218
Terence Davis,6,4,201
DeMar DeRozan,6,6,220
Matthew Dellavedova,6,3,200
Donte DiVincenzo,6,4,203
Mamadi Diakite,6,9,228
Cheick Diallo,6,8,219
Hamidou Diallo,6,5,202
Gorgui Dieng,6,10,252
Spencer Dinwiddie,6,5,215
Luka Doncic,6,7,230
Luguentz Dort,6,3,215
Damyean Dotson,6,5,210
Devon Dotson,6,2,185
Sekou Doumbouya,6,8,230
PJ Dozier,6,6,205
Goran Dragic,6,3,190
Andre Drummond,6,10,279
Jared Dudley,6,6,237
Kris Dunn,6,3,205
Kevin Durant,6,10,240
Anthony Edwards,6,5,225
Carsen Edwards,5,11,200
CJ Elleby,6,6,200
Joel Embiid,7,0,280
James Ennis III,6,6,215
Drew Eubanks,6,9,245
Jacob Evans,6,4,210
Dante Exum,6,5,214
Tacko Fall,7,5,311
Derrick Favors,6,9,265
Cristiano Felicio,6,10,270
Terrance Ferguson,6,6,190
Bruno Fernando,6,9,240
Yogi Ferrell,6,0,178
Dorian Finney-Smith,6,7,220
Malachi Flynn,6,2,175
Bryn Forbes,6,2,205
Evan Fournier,6,7,205
De'Aaron Fox,6,3,185
Michael Frazier,6,3,200
Melvin Frazier Jr.,6,5,215
Markelle Fultz,6,3,209
Wenyen Gabriel,6,9,205
Daniel Gafford,6,10,234
Danilo Gallinari,6,10,233
Darius Garland,6,1,192
Marc Gasol,6,11,255
Rudy Gay,6,8,250
Paul George,6,8,220
Harry Giles III,6,11,240
Shai Gilgeous-Alexander,6,5,180
Rudy Gobert,7,1,258
Brandon Goodwin,6,0,180
Aaron Gordon,6,8,235
Eric Gordon,6,3,215
Devonte' Graham,6,1,195
Jerami Grant,6,8,210
Jerian Grant,6,4,198
Josh Gray,6,0,180
Danny Green,6,6,215
Draymond Green,6,6,230
JaMychal Green,6,8,227
Javonte Green,6,4,205
Jeff Green,6,8,235
Josh Green,6,5,200
Blake Griffin,6,9,250
Marko Guduric,6,6,201
Kyle Guy,6,1,167
Rui Hachimura,6,8,230
Tyrese Haliburton,6,5,185
R.J. Hampton,6,4,175
