選手名,PTS,3PM,3PA,2PM,2PA,FTM,FTA,F,OREB,DREB,REB,TO,AS,ST,BS,MIN,TEAM,category,date
安藤 誓哉,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,4:35,Japan,Men,20190824
太田 敦也,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0:05,Japan,Men,20190824
比江島 慎,10,1,2,3,6,1,2,1,0,1,1,2,0,2,1,25:46:00,Japan,Men,20190824
篠山 竜青,3,0,0,1,1,1,2,4,2,2,4,0,3,0,0,22:35,Japan,Men,20190824
八村 塁,31,2,3,10,16,5,5,2,2,3,5,1,0,2,1,30:52:00,Japan,Men,20190824
竹内 公輔,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DNP,Japan,Men,20190824
渡邊　雄太,20,2,4,4,8,6,7,2,2,4,6,3,2,2,1,27:20:00,Japan,Men,20190824
安藤 周人,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DNP,Japan,Men,20190824
竹内 譲次,0,0,1,0,1,0,0,1,0,2,2,1,1,0,1,17:00,Japan,Men,20190824
馬場 雄大,10,0,1,2,3,6,6,3,0,2,2,4,1,1,0,24:50:00,Japan,Men,20190824
ファジーカス ニック,8,1,2,2,5,1,2,0,3,2,5,2,1,0,0,29:30:00,Japan,Men,20190824
田中 大貴,4,0,1,2,5,0,0,2,0,4,4,0,3,3,0,17:27,Japan,Men,20190824
HC / TEAM,0,0,0,0,0,,,0,1,2,3,0,,,,,Japan,Men,20190824
合計,86,6,15,24,45,20,24,15,10,23,33,13,11,10,4,200,Japan,Men,20190824
Isaac Bonga,6,0,0,2,2,2,2,2,2,1,3,0,3,0,0,12:11,Germany,Men,20190824
Niels Giffey,2,0,3,1,4,0,0,0,1,0,1,1,0,0,0,11:41,Germany,Men,20190824
Johannes Voigtmann,8,0,1,3,6,2,2,2,6,4,10,0,4,0,0,21:34,Germany,Men,20190824
Ismet Akpinar,7,1,2,2,3,0,0,2,1,0,1,0,3,0,0,20:02,Germany,Men,20190824
Daniel Theis,8,0,1,4,8,0,0,3,3,1,4,2,1,1,0,22:28,Germany,Men,20190824
Robin Benzing,11,2,6,0,0,5,5,1,0,1,1,1,1,0,0,10:02,Germany,Men,20190824
Dennis Schroder,16,4,12,2,9,0,0,1,3,5,8,3,4,3,1,29:19:00,Germany,Men,20190824
