選手名,PTS,3PM,3PA,2PM,2PA,FTM,FTA,F,OREB,DREB,REB,TO,AS,ST,BS,MIN,TEAM,category,date
高田 真希,15,0,4,4,7,7,7,1,4,3,7,0,2,1,0,21:51,Japan,Women,20190825
渡嘉敷 来夢,11,0,0,3,7,5,6,1,2,3,5,0,2,0,1,22:04,Japan,Women,20190825
谷村 里佳,6,2,5,0,0,0,0,1,1,3,4,0,0,1,0,15:33,Japan,Women,20190825
町田 瑠唯,3,0,1,1,2,1,2,2,0,1,1,1,8,0,0,20:56,Japan,Women,20190825
本川 紗奈生,3,1,2,0,0,0,0,0,1,2,3,1,0,0,1,10:10,Japan,Women,20190825
本橋 菜子,6,2,3,0,0,0,0,3,1,0,1,0,5,0,0,19:04,Japan,Women,20190825
藤高 三佳,6,2,7,0,0,0,0,3,1,0,1,1,1,0,0,19:14,Japan,Women,20190825
梅沢 カディシャ樹奈,3,0,0,1,4,1,2,2,1,2,3,4,0,0,0,8:50,Japan,Women,20190825
馬瓜 エブリン,8,0,1,1,2,6,6,2,1,0,1,0,2,0,0,13:24,Japan,Women,20190825
中田 珠未,4,0,0,2,2,0,1,3,1,3,4,0,0,0,0,11:42,Japan,Women,20190825
宮澤 夕貴,10,1,7,2,3,3,3,1,2,3,5,0,1,0,3,21:28,Japan,Women,20190825
赤穂 ひまわり,6,0,1,3,3,0,0,2,1,3,4,2,0,0,0,15:44,Japan,Women,20190825
HC / TEAM,0,0,0,0,0,,,0,2,1,3,1,,,,,Japan,Women,20190825
合計,81,8,31,17,30,23,27,21,18,24,42,10,21,2,5,200,Japan,Women,20190825
Wei Lin Wang,6,1,4,1,5,1,2,1,0,0,0,0,1,0,0,21:32,Taipei,Women,20190825
Hsi Yeh Liu,2,0,0,0,2,2,2,2,0,0,0,0,1,0,0,6:27,Taipei,Women,20190825
Chia Wen Kuo,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,10:37,Taipei,Women,20190825
Fan Shan Huang,0,0,1,0,0,0,0,2,0,0,0,0,0,1,0,14:16,Taipei,Women,20190825
Yen Yu Chen,5,0,2,1,5,3,3,1,0,2,2,2,0,1,0,17:48,Taipei,Women,20190825
Pei Chen Tsai,14,2,4,2,4,4,7,4,1,4,5,1,2,0,2,31:54:00,Taipei,Women,20190825
Hsien Fang Lin,6,0,0,2,2,2,2,2,0,2,2,0,0,1,0,16:49,Taipei,Women,20190825
Ying Chieh Wu,8,2,4,1,5,0,0,4,0,1,1,1,0,1,0,15:55,Taipei,Women,20190825
Hui Ju Liu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DNP,Taipei,Women,20190825
Hsiang Ting Huang,2,0,0,1,4,0,0,1,0,3,3,1,0,0,0,15:04,Taipei,Women,20190825
Hsiao Tong Peng,5,0,1,1,1,3,4,0,1,1,2,0,3,1,0,18:25,Taipei,Women,20190825
Yu Chin Chu,10,0,0,4,5,2,3,1,2,3,5,2,2,1,0,31:13:00,Taipei,Women,20190825
HC / TEAM,0,0,0,0,0,,,0,2,3,5,12,,,,,Taipei,Women,20190825
合計,58,5,16,13,34,17,23,18,6,19,25,19,11,6,2,200,Taipei,Women,20190825
高田 真希,12,1,1,3,5,3,3,0,1,3,4,0,4,2,0,20:00,Japan,Women,20190824
渡嘉敷 来夢,10,0,1,4,5,2,3,0,1,6,7,0,4,2,1,23:08,Japan,Women,20190824
町田 瑠唯,2,0,1,1,1,0,0,1,0,3,3,6,10,0,0,20:30,Japan,Women,20190824
本川 紗奈生,10,2,3,2,2,0,0,2,0,2,2,1,0,2,0,14:37,Japan,Women,20190824
本橋 菜子,12,1,2,3,5,3,4,0,1,0,1,2,4,2,0,19:30,Japan,Women,20190824
藤高 三佳,6,1,6,1,1,1,1,3,0,1,1,0,1,1,0,10:00,Japan,Women,20190824
梅沢 カディシャ樹奈,3,0,0,1,1,1,2,2,0,2,2,0,0,0,0,12:28,Japan,Women,20190824
馬瓜 エブリン,1,0,1,0,2,1,2,1,0,0,0,0,1,1,0,11:27,Japan,Women,20190824
中田 珠未,3,0,1,1,1,1,2,1,3,3,6,1,0,0,0,13:37,Japan,Women,20190824
宮澤 夕貴,15,3,10,3,4,0,0,1,2,2,4,0,0,3,1,25:04:00,Japan,Women,20190824
赤穂 ひまわり,15,0,1,6,6,3,3,0,0,1,1,0,2,0,0,18:52,Japan,Women,20190824
オコエ 桃仁花,2,0,2,1,3,0,0,0,1,1,2,0,1,0,0,10:47,Japan,Women,20190824
HC / TEAM,0,0,0,0,0,,,0,1,0,1,1,,,,,Japan,Women,20190824
合計,91,8,29,26,36,15,20,11,10,24,34,11,27,13,2,200,Japan,Women,20190824
Wei Lin Wang,13,1,2,5,8,0,0,1,2,4,6,2,2,0,0,27:38:00,Taipei,Women,20190824
Hsi Yeh Liu,0,0,0,0,1,0,0,0,0,1,1,1,1,0,0,5:54,Taipei,Women,20190824
Chia Wen Kuo,3,1,7,0,1,0,2,2,0,4,4,1,3,1,0,26:17:00,Taipei,Women,20190824
Yen Yu Chen,2,0,2,1,4,0,0,2,1,0,1,3,2,0,0,10:01,Taipei,Women,20190824
Pei Chen Tsai,13,0,0,5,7,3,3,3,0,1,1,1,0,1,0,32:39:00,Taipei,Women,20190824
Hsien Fang Lin,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,8:34,Taipei,Women,20190824
Ying Chieh Wu,9,1,1,2,7,2,2,1,0,1,1,2,0,1,0,13:43,Taipei,Women,20190824
Chia Jung Lin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DNP,Taipei,Women,20190824
Hui Ju Liu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DNP,Taipei,Women,20190824
Hsiang Ting Huang,13,1,1,5,8,0,0,2,2,2,4,1,1,0,0,22:38,Taipei,Women,20190824
Hsiao Tong Peng,3,1,1,0,1,0,0,2,0,3,3,4,6,1,1,25:58:00,Taipei,Women,20190824
Yu Chin Chu,3,1,1,0,1,0,0,1,0,2,2,3,1,2,0,26:38:00,Taipei,Women,20190824
HC / TEAM,0,0,0,0,0,,,0,1,4,5,4,,,,,Taipei,Women,20190824
合計,59,6,15,18,39,5,7,17,6,22,28,22,16,6,1,200,Taipei,Women,20190824
